species,petko_category_verbatim,petko_category,median_st_range,gate1_category,manual_correction,correction_rationale
Astacus astacus,widespread/cosmopolitan,widespread,6.6738296140910975,widespread,,
Austropotamobius bihariensis,regional,regional,1.981214363907904,regional,,
Austropotamobius fulcisianus,widespread/cosmopolitan,widespread,4.868238594626318,regional,yes,non-native populations from 16th-century translocation; native to Italian Peninsula and southern Dinarides
Austropotamobius pallipes,widespread/cosmopolitan,widespread,6.690945866867644,widespread,,
Austropotamobius torrentium,widespread/cosmopolitan,widespread,5.170068463580527,regional,yes,non-native populations from historical translocation; restricted native range (central-eastern Europe)
Barbicambarus cornutus,endemic/narrow-range,endemic,1.4533692094550148,endemic,,
Cambarellus (Pandicambarus) diminutus,regional,regional,1.8855767670102577,regional,,
Cambarellus (Pandicambarus) lesliei,regional,regional,2.4323924225316773,regional,,
Cambarellus (Pandicambarus) ninae,endemic/narrow-range,endemic,1.5806128578413048,endemic,,
Cambarellus (Pandicambarus) puer,regional,regional,3.1106704741361204,regional,,
Cambarellus (Pandicambarus) schmitti,regional,regional,2.5325184264149487,regional,,
Cambarellus (Pandicambarus) shufeldtii,widespread/cosmopolitan,widespread,5.403101864867397,widespread,,
Cambaroides japonicus,regional,regional,1.9876236798807505,regional,,
Cambaroides schrenckii,regional,regional,2.2398045520430756,regional,,
Cambaroides similis,regional,regional,2.249662730733699,regional,,
Cambarus acuminatus,widespread/cosmopolitan,widespread,4.654593751772836,widespread,,
Cambarus aldermanorum,endemic/narrow-range,endemic,1.699527219755709,endemic,,
Cambarus andersoni,endemic/narrow-range,endemic,1.3996669530867274,endemic,,
Cambarus angularis,regional,regional,2.061254897632581,regional,,
Cambarus appalachiensis,regional,regional,2.73151604172965,regional,,
Cambarus asperimanus,regional,regional,2.7357188695691663,regional,,
Cambarus bartonii bartonii,widespread/cosmopolitan,widespread,4.515512195121952,widespread,,
Cambarus bartonii cavatus,widespread/cosmopolitan,widespread,3.825257956602054,widespread,,
Cambarus bartonii,widespread/cosmopolitan,widespread,4.6430084228383635,widespread,,
Cambarus brimleyorum,endemic/narrow-range,endemic,1.786079656771837,endemic,,
Cambarus buntingi,endemic/narrow-range,endemic,1.1006604834346592,endemic,,
Cambarus carinirostris,widespread/cosmopolitan,widespread,3.665324685917202,widespread,,
Cambarus carolinus,regional,regional,2.2434197924735653,regional,,
Cambarus catagius,regional,regional,2.0151952005894787,regional,,
Cambarus causeyi,endemic/narrow-range,endemic,1.2259902278825745,endemic,,
Cambarus chasmodactylus,regional,regional,2.6063641412885428,regional,,
Cambarus chaugaensis,regional,regional,2.17281425703741,regional,,
Cambarus coosae,regional,regional,2.7440302018394993,regional,,
Cambarus crinipes,endemic/narrow-range,endemic,1.3676192902266031,endemic,,
Cambarus cumberlandensis,regional,regional,2.144298026055346,regional,,
Cambarus davidi,regional,regional,3.0723063732495004,regional,,
Cambarus deweesae,endemic/narrow-range,endemic,1.404135818228236,endemic,,
Cambarus distans,regional,regional,2.2987156609277566,regional,,
Cambarus dubius,widespread/cosmopolitan,widespread,3.3463142624252056,widespread,,
Cambarus eeseeohensis,regional,regional,1.9302406849128109,regional,,
Cambarus elkensis,endemic/narrow-range,endemic,1.6936827995031571,endemic,,
Cambarus englishi,regional,regional,1.9648692954196012,regional,,
Cambarus extraneus,endemic/narrow-range,endemic,1.4605094905562377,endemic,,
Cambarus fasciatus,endemic/narrow-range,endemic,1.3717803384166944,endemic,,
Cambarus friaufi,endemic/narrow-range,endemic,1.3611950187923307,endemic,,
Cambarus georgiae,endemic/narrow-range,endemic,1.5445328442430524,endemic,,
Cambarus girardianus,regional,regional,2.9570991171458783,regional,,
Cambarus graysoni,regional,regional,2.354159472310461,regional,,
Cambarus guenteri,endemic/narrow-range,endemic,1.1239965577054956,endemic,,
Cambarus halli,widespread/cosmopolitan,widespread,3.147524112042018,widespread,,
Cambarus hamulatus,regional,regional,2.0869565217391304,regional,,
Cambarus hatfieldi,endemic/narrow-range,endemic,1.4771742998120156,endemic,,
Cambarus hazardi,endemic/narrow-range,endemic,1.4377462305957702,endemic,,
Cambarus hiwasseensis,regional,regional,2.2876277688646285,regional,,
Cambarus hobbsorum,widespread/cosmopolitan,widespread,3.2980763082009794,widespread,,
Cambarus howardi,widespread/cosmopolitan,widespread,4.16236448615218,widespread,,
Cambarus hubbsi,regional,regional,2.501369474025098,regional,,
Cambarus hystricosus,regional,regional,2.509977370911335,regional,,
Cambarus jezerinaci,endemic/narrow-range,endemic,1.6037231262008556,endemic,,
Cambarus johni,regional,regional,1.9966034232329608,regional,,
Cambarus latimanus,widespread/cosmopolitan,widespread,5.337115074288739,widespread,,
