species,category
Astacus astacus,widespread
Austropotamobius bihariensis,regional
Austropotamobius fulcisianus,regional
Austropotamobius pallipes,widespread
Austropotamobius torrentium,regional
Barbicambarus cornutus,endemic
Cambarellus (Pandicambarus) diminutus,regional
Cambarellus (Pandicambarus) lesliei,regional
Cambarellus (Pandicambarus) ninae,endemic
Cambarellus (Pandicambarus) puer,regional
Cambarellus (Pandicambarus) schmitti,regional
Cambarellus (Pandicambarus) shufeldtii,widespread
Cambaroides japonicus,regional
Cambaroides schrenckii,regional
Cambaroides similis,regional
Cambarus acuminatus,widespread
Cambarus aldermanorum,endemic
Cambarus andersoni,endemic
Cambarus angularis,regional
Cambarus appalachiensis,regional
Cambarus asperimanus,regional
Cambarus bartonii bartonii,widespread
Cambarus bartonii cavatus,widespread
Cambarus bartonii,widespread
Cambarus brimleyorum,endemic
Cambarus buntingi,endemic
Cambarus carinirostris,widespread
Cambarus carolinus,regional
Cambarus catagius,regional
Cambarus causeyi,endemic
Cambarus chasmodactylus,regional
Cambarus chaugaensis,regional
Cambarus coosae,regional
Cambarus crinipes,endemic
Cambarus cumberlandensis,regional
Cambarus davidi,regional
Cambarus deweesae,endemic
Cambarus distans,regional
Cambarus dubius,widespread
Cambarus eeseeohensis,regional
Cambarus elkensis,endemic
Cambarus englishi,regional
Cambarus extraneus,endemic
Cambarus fasciatus,endemic
Cambarus friaufi,endemic
Cambarus georgiae,endemic
Cambarus girardianus,regional
Cambarus graysoni,regional
Cambarus guenteri,endemic
Cambarus halli,widespread
Cambarus hamulatus,regional
Cambarus hatfieldi,endemic
Cambarus hazardi,endemic
Cambarus hiwasseensis,regional
Cambarus hobbsorum,widespread
Cambarus howardi,widespread
Cambarus hubbsi,regional
Cambarus hystricosus,regional
Cambarus jezerinaci,endemic
Cambarus johni,regional
Cambarus latimanus,widespread
Cambarus lenati,regional
Cambarus longirostris,widespread
Cambarus longulus,regional
Cambarus maculatus,regional
Cambarus manningi,endemic
Cambarus monongalensis,regional
Cambarus nodosus,endemic
Cambarus obstipus,regional
Cambarus ortmanni,regional
Cambarus parrishi,endemic
Cambarus parvoculus,regional
Cambarus pristinus,endemic
Cambarus reburrus,regional
Cambarus reduncus,widespread
Cambarus reflexus,regional
Cambarus robustus,widespread
Cambarus rusticiformis,regional
Cambarus sciotensis,widespread
Cambarus scotti,regional
Cambarus smilax,endemic
Cambarus speciosus,endemic
Cambarus sphenoides,regional
Cambarus spicatus,regional
Cambarus stockeri,endemic
Cambarus striatus,regional
Cambarus strigosus,regional
Cambarus taylori,endemic
Cambarus tenebrosus,widespread
Cambarus theepiensis,regional
Cambarus tuckasegee,endemic
Cambarus unestami,regional
Cherax quadricarinatus,regional
Creaserinus burrisi,endemic
Creaserinus byersi,regional
Creaserinus caesius,endemic
Creaserinus danielae,regional
Creaserinus fodiens,regional
Distocambarus (Distocambarus) crockeri,endemic
Distocambarus (Fitzcambarus) carlsoni,endemic
Euastacus armatus,widespread
Euastacus bispinosus,regional
Fallicambarus harpi,endemic
Fallicambarus jeanae,endemic
Fallicambarus strawni,regional
Fallicambarus tenuis,regional
Faxonella clypeata,widespread
Faxonius acares,regional
Faxonius alabamensis,regional
Faxonius barrenensis,endemic
Faxonius carolinensis,widespread
Faxonius causeyi,regional
Faxonius chickasawae,regional
Faxonius compressus,regional
Faxonius cristavarius,widespread
Faxonius deanae,regional
Faxonius difficilis,endemic
Faxonius durelli,regional
Faxonius erichsonianus,widespread
Faxonius etnieri,regional
Faxonius eupunctus,endemic
Faxonius forceps,widespread
Faxonius harrisonii,endemic
Faxonius holti,regional
Faxonius hylas,regional
Faxonius illinoiensis,regional
Faxonius immunis,widespread
Faxonius indianensis,regional
Faxonius jeffersoni,endemic
Faxonius jonesi,endemic
Faxonius juvenilis,regional
Faxonius kentuckiensis,endemic
Faxonius lancifer,widespread
Faxonius leptogonopodus,regional
Faxonius limosus,widespread
Faxonius longidigitus,regional
Faxonius luteus,widespread
Faxonius macrus,regional
Faxonius marchandi,endemic
Faxonius medius,regional
Faxonius meeki,regional
Faxonius meeki meeki,regional
Faxonius menae,regional
Faxonius mirus,regional
Faxonius mississippiensis,endemic
Faxonius nais,widespread
Faxonius nana,regional
Faxonius neglectus,widespread
Faxonius neglectus neglectus,widespread
Faxonius obscurus,widespread
Faxonius ozarkae,widespread
Faxonius pagei,endemic
Faxonius palmeri,widespread
Faxonius palmeri longimanus,widespread
Faxonius palmeri palmeri,regional
Faxonius perfectus,regional
Faxonius peruncus,regional
Faxonius placidus,widespread
Faxonius propinquus,widespread
Faxonius punctimanus,regional
Faxonius putnami,regional
Faxonius quadruncus,endemic
Faxonius rafinesquei,endemic
Faxonius raymondi,regional
Faxonius rhoadesi,regional
Faxonius roberti,regional
Faxonius ronaldi,endemic
Faxonius rusticus,widespread
Faxonius sanbornii,widespread
Faxonius sanbornii sanbornii,regional
Faxonius sloanii,regional
Faxonius spinosus,regional
Faxonius stannardi,endemic
Faxonius texanus,endemic
Faxonius tricuspis,endemic
Faxonius validus,widespread
Faxonius virginiensis,widespread
Faxonius virilis,widespread
Faxonius wagneri,endemic
Faxonius williamsi,regional
Faxonius wrighti,endemic
Faxonius yanahlindus,regional
Hobbseus prominens,endemic
Lacunicambarus acanthura,regional
Lacunicambarus chimera,regional
Lacunicambarus diogenes,widespread
Lacunicambarus erythrodactylus,regional
Lacunicambarus ludovicianus,widespread
Lacunicambarus miltus,regional
Lacunicambarus nebrascensis,regional
Lacunicambarus polychromatus,widespread
Lacunicambarus thomai,widespread
Orconectes australis,regional
Orconectes pellucidus,endemic
Pacifastacus leniusculus,widespread
Parastacus brasiliensis,regional
Parastacus nicoleti,regional
Parastacus pilimanus,endemic
Parastacus pugnax,regional
Pontastacus leptodactylus,widespread
Procambarus ablusus,endemic
Procambarus acutissimus,widespread
Procambarus acutus,widespread
Procambarus advena,regional
Procambarus alleni,regional
Procambarus ancylus,widespread
Procambarus barbatus,regional
Procambarus bivittatus,regional
Procambarus blandingii,widespread
Procambarus caritus,endemic
Procambarus chacei,widespread
Procambarus clarkii,widespread
Procambarus clemmeri,regional
Procambarus curdi,endemic
Procambarus dupratzi,regional
Procambarus echinatus,regional
Procambarus elegans,endemic
Procambarus enoplosternum,regional
Procambarus epicyrtus,endemic
Procambarus evermanni,regional
Procambarus fallax,widespread
Procambarus geminus,endemic
Procambarus gracilis,widespread
Procambarus hayi,widespread
Procambarus hinei,regional
Procambarus hirsutus,regional
Procambarus howellae,endemic
Procambarus hubbelli,regional
Procambarus hybus,regional
Procambarus incilis,regional
Procambarus kensleyi,endemic
Procambarus kilbyi,regional
Procambarus lagniappe,endemic
Procambarus lecontei,regional
Procambarus leonensis,regional
Procambarus lepidodactylus,regional
Procambarus lewisi,regional
Procambarus liberorum,regional
Procambarus litosternum,regional
Procambarus lophotus,regional
Procambarus lunzi,regional
Procambarus marthae,regional
Procambarus medialis,regional
Procambarus natchitochae,regional
Procambarus nechesae,endemic
Procambarus nigrocinctus,endemic
Procambarus okaloosae,endemic
Procambarus ouachitae,regional
Procambarus paeninsulanus,widespread
Procambarus parasimulans,regional
Procambarus pearsei,regional
Procambarus plumimanus,regional
Procambarus pubescens,regional
Procambarus pubischelae deficiens,regional
Procambarus pubischelae,endemic
Procambarus pygmaeus,regional
Procambarus raneyi,regional
Procambarus reimeri,endemic
Procambarus seminolae,regional
Procambarus shermani,endemic
Procambarus simulans,widespread
Procambarus spiculifer,widespread
Procambarus suttkusi,regional
Procambarus talpoides,regional
Procambarus troglodytes,widespread
Procambarus tulanei,regional
Procambarus verrucosus,regional
Procambarus versutus,widespread
Procambarus viaeviridis,regional
Procambarus vioscai,regional
Procambarus vioscai paynei,regional
Procambarus virginalis,widespread
Samastacus spinifrons,widespread
