variable,kind,source_name,sheet,unit,definition
l_CLI1,local,bio1_min,CLIMATE,°C,Annual mean air temperature [minimum]
l_CLI2,local,bio1_max,CLIMATE,°C,Annual mean air temperature [maximum]
l_CLI3,local,bio1_mean,CLIMATE,°C,Annual mean air temperature [mean]
u_CLI3,upstream,bio1_mean,CLIMATE,°C,Annual mean air temperature [mean]
l_CLI4,local,bio1_sd,CLIMATE,°C,Annual mean air temperature [sd]
l_CLI5,local,bio2_min,CLIMATE,°C,Mean diurnal range (mean of monthly (max temp – min temp)) [minimum]
l_CLI6,local,bio2_max,CLIMATE,°C,Mean diurnal range (mean of monthly (max temp – min temp)) [maximum]
l_CLI7,local,bio2_mean,CLIMATE,°C,Mean diurnal range (mean of monthly (max temp – min temp)) [mean]
u_CLI7,upstream,bio2_mean,CLIMATE,°C,Mean diurnal range (mean of monthly (max temp – min temp)) [mean]
l_CLI8,local,bio2_sd,CLIMATE,°C,Mean diurnal range (mean of monthly (max temp – min temp)) [sd]
l_CLI9,local,bio3_min,CLIMATE,°C,Isothermality (bio2 / bio7) (× 100) [minimum]
l_CLI10,local,bio3_max,CLIMATE,°C,Isothermality (bio2 / bio7) (× 100) [maximum]
l_CLI11,local,bio3_mean,CLIMATE,°C,Isothermality (bio2 / bio7) (× 100) [mean]
u_CLI11,upstream,bio3_mean,CLIMATE,°C,Isothermality (bio2 / bio7) (× 100) [mean]
l_CLI12,local,bio3_sd,CLIMATE,°C,Isothermality (bio2 / bio7) (× 100) [sd]
l_CLI13,local,bio4_min,CLIMATE,°C/100,Temperature seasonality (standard deviation × 100) [minimum]
l_CLI14,local,bio4_max,CLIMATE,°C/100,Temperature seasonality (standard deviation × 100) [maximum]
l_CLI15,local,bio4_mean,CLIMATE,°C/100,Temperature seasonality (standard deviation × 100) [mean]
u_CLI15,upstream,bio4_mean,CLIMATE,°C/100,Temperature seasonality (standard deviation × 100) [mean]
l_CLI16,local,bio4_sd,CLIMATE,°C/100,Temperature seasonality (standard deviation × 100) [sd]
l_CLI17,local,bio5_min,CLIMATE,°C,Max temperature of warmest month [minimum]
l_CLI18,local,bio5_max,CLIMATE,°C,Max temperature of warmest month [maximum]
l_CLI19,local,bio5_mean,CLIMATE,°C,Max temperature of warmest month [mean]
u_CLI19,upstream,bio5_mean,CLIMATE,°C,Max temperature of warmest month [mean]
l_CLI20,local,bio5_sd,CLIMATE,°C,Max temperature of warmest month [sd]
l_CLI21,local,bio6_min,CLIMATE,°C,Min temperature of coldest month [minimum]
l_CLI22,local,bio6_max,CLIMATE,°C,Min temperature of coldest month [maximum]
l_CLI23,local,bio6_mean,CLIMATE,°C,Min temperature of coldest month [mean]
u_CLI23,upstream,bio6_mean,CLIMATE,°C,Min temperature of coldest month [mean]
l_CLI24,local,bio6_sd,CLIMATE,°C,Min temperature of coldest month [sd]
l_CLI25,local,bio7_min,CLIMATE,°C,Temperature annual range (bio5 – bio6) [minimum]
l_CLI26,local,bio7_max,CLIMATE,°C,Temperature annual range (bio5 – bio6) [maximum]
l_CLI27,local,bio7_mean,CLIMATE,°C,Temperature annual range (bio5 – bio6) [mean]
u_CLI27,upstream,bio7_mean,CLIMATE,°C,Temperature annual range (bio5 – bio6) [mean]
l_CLI28,local,bio7_sd,CLIMATE,°C,Temperature annual range (bio5 – bio6) [sd]
l_CLI29,local,bio8_min,CLIMATE,°C,Mean temperature of wettest quarter [minimum]
l_CLI30,local,bio8_max,CLIMATE,°C,Mean temperature of wettest quarter [maximum]
l_CLI31,local,bio8_mean,CLIMATE,°C,Mean temperature of wettest quarter [mean]
u_CLI31,upstream,bio8_mean,CLIMATE,°C,Mean temperature of wettest quarter [mean]
l_CLI32,local,bio8_sd,CLIMATE,°C,Mean temperature of wettest quarter [sd]
l_CLI33,local,bio9_min,CLIMATE,°C,Mean temperature of driest quarter [minimum]
l_CLI34,local,bio9_max,CLIMATE,°C,Mean temperature of driest quarter [maximum]
l_CLI35,local,bio9_mean,CLIMATE,°C,Mean temperature of driest quarter [mean]
u_CLI35,upstream,bio9_mean,CLIMATE,°C,Mean temperature of driest quarter [mean]
l_CLI36,local,bio9_sd,CLIMATE,°C,Mean temperature of driest quarter [sd]
l_CLI37,local,bio10_min,CLIMATE,°C,Mean temperature of warmest quarter [minimum]
l_CLI38,local,bio10_mean,CLIMATE,°C,Mean temperature of warmest quarter [maximum]
l_CLI39,local,bio10_max,CLIMATE,°C,Mean temperature of warmest quarter [mean]
u_CLI39,upstream,bio10_max,CLIMATE,°C,Mean temperature of warmest quarter [mean]
l_CLI40,local,bio10_sd,CLIMATE,°C,Mean temperature of warmest quarter [sd]
l_CLI41,local,bio11_min,CLIMATE,°C,Mean temperature of coldest quarter [minimum]
l_CLI42,local,bio11_max,CLIMATE,°C,Mean temperature of coldest quarter [maximum]
l_CLI43,local,bio11_mean,CLIMATE,°C,Mean temperature of coldest quarter [mean]
u_CLI43,upstream,bio11_mean,CLIMATE,°C,Mean temperature of coldest quarter [mean]
l_CLI44,local,bio11_sd,CLIMATE,°C,Mean temperature of coldest quarter [sd]
l_CLI45,local,bio12_min,CLIMATE,kg/m²,Annual precipitation [minimum]
l_CLI46,local,bio12_max,CLIMATE,kg/m²,Annual precipitation [maximum]
l_CLI47,local,bio12_mean,CLIMATE,kg/m²,Annual precipitation [mean]
u_CLI47,upstream,bio12_mean,CLIMATE,kg/m²,Annual precipitation [mean]
l_CLI48,local,bio12_sd,CLIMATE,kg/m²,Annual precipitation [sd]
l_CLI49,local,bio13_min,CLIMATE,kg/m²,Precipitation of wettest month [minimum]
l_CLI50,local,bio13_max,CLIMATE,kg/m²,Precipitation of wettest month [maximum]
l_CLI51,local,bio13_mean,CLIMATE,kg/m²,Precipitation of wettest month [mean]
u_CLI51,upstream,bio13_mean,CLIMATE,kg/m²,Precipitation of wettest month [mean]
l_CLI52,local,bio13_sd,CLIMATE,kg/m²,Precipitation of wettest month [sd]
l_CLI53,local,bio14_min,CLIMATE,kg/m²,Precipitation of driest month [minimum]
l_CLI54,local,bio14_max,CLIMATE,kg/m²,Precipitation of driest month [maximum]
l_CLI55,local,bio14_mean,CLIMATE,kg/m²,Precipitation of driest month [mean]
u_CLI55,upstream,bio14_mean,CLIMATE,kg/m²,Precipitation of driest month [mean]
l_CLI56,local,bio14_sd,CLIMATE,kg/m²,Precipitation of driest month [sd]
l_CLI57,local,bio15_min,CLIMATE,kg/m²,Precipitation seasonality (coefficient of variation) [minimum]
l_CLI58,local,bio15_max,CLIMATE,kg/m²,Precipitation seasonality (coefficient of variation) [maximum]
l_CLI59,local,bio15_mean,CLIMATE,kg/m²,Precipitation seasonality (coefficient of variation) [mean]
u_CLI59,upstream,bio15_mean,CLIMATE,kg/m²,Precipitation seasonality (coefficient of variation) [mean]
l_CLI60,local,bio15_sd,CLIMATE,kg/m²,Precipitation seasonality (coefficient of variation) [sd]
l_CLI61,local,bio16_min,CLIMATE,kg/m²,Precipitation of wettest quarter [minimum]
l_CLI62,local,bio16_max,CLIMATE,kg/m²,Precipitation of wettest quarter [maximum]
l_CLI63,local,bio16_mean,CLIMATE,kg/m²,Precipitation of wettest quarter [mean]
u_CLI63,upstream,bio16_mean,CLIMATE,kg/m²,Precipitation of wettest quarter [mean]
l_CLI64,local,bio16_sd,CLIMATE,kg/m²,Precipitation of wettest quarter [sd]
l_CLI65,local,bio17_min,CLIMATE,kg/m²,Precipitation of driest quarter [minimum]
l_CLI66,local,bio17_max,CLIMATE,kg/m²,Precipitation of driest quarter [maximum]
l_CLI67,local,bio17_mean,CLIMATE,kg/m²,Precipitation of driest quarter [mean]
u_CLI67,upstream,bio17_mean,CLIMATE,kg/m²,Precipitation of driest quarter [mean]
l_CLI68,local,bio17_sd,CLIMATE,kg/m²,Precipitation of driest quarter [sd]
l_CLI69,local,bio18_min,CLIMATE,kg/m²,Precipitation of warmest quarter [minimum]
l_CLI70,local,bio18_max,CLIMATE,kg/m²,Precipitation of warmest quarter [maximum]
l_CLI71,local,bio18_mean,CLIMATE,kg/m²,Precipitation of warmest quarter [mean]
u_CLI71,upstream,bio18_mean,CLIMATE,kg/m²,Precipitation of warmest quarter [mean]
l_CLI72,local,bio18_sd,CLIMATE,kg/m²,Precipitation of warmest quarter [sd]
l_CLI73,local,bio19_min,CLIMATE,kg/m²,Precipitation of coldest quarter [minimum]
l_CLI74,local,bio19_max,CLIMATE,kg/m²,Precipitation of coldest quarter [maximum]
l_CLI75,local,bio19_mean,CLIMATE,kg/m²,Precipitation of coldest quarter [mean]
u_CLI75,upstream,bio19_mean,CLIMATE,kg/m²,Precipitation of coldest quarter [mean]
l_CLI76,local,bio19_sd,CLIMATE,kg/m²,Precipitation of coldest quarter [sd]
l_SOL1,local,awcts_min,SOIL,v%,Derived saturated water content (volumetric fraction) [minimum]
l_SOL2,local,awcts_max,SOIL,v%,Derived saturated water content (volumetric fraction) [maximum]
l_SOL3,local,awcts_mean,SOIL,v%,Derived saturated water content (volumetric fraction) [mean]
u_SOL3,upstream,awcts_mean,SOIL,v%,Derived saturated water content (volumetric fraction) [mean]
l_SOL4,local,awcts_sd,SOIL,v%,Derived saturated water content (volumetric fraction) [sd]
l_SOL5,local,wwp_min,SOIL,v%,Available water capacity (volumetric fraction) [minimum]
