algorithm,track,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi,tss_mean,tss_lo,tss_hi,brier_mean,brier_lo,brier_hi,sensitivity_mean,sensitivity_lo,sensitivity_hi,specificity_mean,specificity_lo,specificity_hi
maxent,combined,lowacc,0,50,0.7109597557875114,0.7013892148562466,0.7204168570237177,0.30431307420788334,0.28975989400384256,0.31833542656215114,0.16006133176170803,0.15358738899870295,0.16690237343404238,0.5031657827131428,0.4931740889634983,0.51317130573947,0.8011472914947404,0.7868984573179935,0.8157143709379311
maxent,combined,lowacc,5,50,0.6895922345082465,0.6788217086051129,0.7008731716749401,0.281610048304366,0.26514348016194705,0.29737949023213905,0.17269908128724482,0.1643536386038748,0.1807009760800054,0.4884919587202272,0.47793293650990565,0.49853987983498904,0.7931180895841388,0.7778570805667746,0.8076190780788197
maxent,combined,lowacc,10,50,0.6783234914136945,0.6673558087590742,0.6884798336323946,0.2682667576789151,0.251864306948864,0.28487325772436883,0.17261561399418718,0.16376406137269015,0.18177082834181602,0.46755147046107903,0.4577422261554171,0.47768853808877,0.800715287217836,0.7871512865786362,0.8146240454337483
maxent,combined,lowacc,20,30,0.6688831704029338,0.6553131942543955,0.6816090887961901,0.24398567701177784,0.22483303568769297,0.2615383790677924,0.1617737145211729,0.1509594528900482,0.17357373805029996,0.4271359508991538,0.41738926075372274,0.43743162278798614,0.8168497261126241,0.799010076731253,0.8332851734079488
maxent,combined,lowacc,35,30,0.6298033357104421,0.6192381924042273,0.6402315036030327,0.18536052382450097,0.17191361060747906,0.19883361494200846,0.16425510504329494,0.1564639525779442,0.17252452814731217,0.36056481135221363,0.35090852784435106,0.36985624238206916,0.8247957124722873,0.8124159639145125,0.8355901792753729
maxent,combined,lowacc,50,30,0.614532028341443,0.6027594411157247,0.6263272922180817,0.1515539176803328,0.13670753981001932,0.16618598776446897,0.15881025395931805,0.14921627781791885,0.16903811685431738,0.3186911536326133,0.30364198271441384,0.3341388199740182,0.8328627640477194,0.8187681478539409,0.8454729399277067
maxent,combined,snapping,0,50,0.7002396632710822,0.6896124371799438,0.7100093908076863,0.2904985170738454,0.27444769679373104,0.30470737131144615,0.1680279382560647,0.15887060951468832,0.17760914630977664,0.495788954051965,0.48767048470606683,0.5038314674614591,0.7947095630218803,0.7806787034404323,0.8087379830666414
maxent,combined,snapping,5,50,0.7008680831843521,0.688699481738818,0.7123422314110549,0.28720626039480485,0.2704722488215608,0.30456444296344154,0.17238882106424924,0.16485334552118855,0.18122426867907462,0.4991880621321885,0.49091605737340976,0.5080623238885397,0.7880181982626163,0.7733602465981623,0.8030378037147019
maxent,combined,snapping,10,50,0.7021713433484897,0.6932172043328036,0.7109588034953791,0.29598479370428105,0.2834568278645086,0.3093203756282943,0.16888464509838788,0.16149967333178072,0.1770584791450412,0.49727151414016973,0.4895299065462926,0.5049035971514871,0.7987132795641112,0.786455328829749,0.8104674307334517
maxent,combined,snapping,20,30,0.7041946679879781,0.6918335175351542,0.716054769718741,0.2951330060421835,0.2757724014805922,0.31388581471488697,0.16398976081108077,0.15418014089766738,0.17415204284143243,0.49407735080710957,0.48068398921325345,0.5090605439647053,0.8010556552350737,0.7836022015122553,0.8178737617917115
maxent,combined,snapping,35,30,0.7093989079580605,0.6933596686042282,0.7248073492802146,0.30558961818001557,0.28406526435822266,0.3276045922382564,0.15568599573046127,0.14398750093127968,0.16766208602191432,0.49821119231306826,0.48980819911929896,0.5067298584975005,0.8073784258669472,0.7847890792131798,0.8293410427558321
maxent,combined,snapping,50,30,0.7311793497853302,0.7204855849750832,0.7418735624407607,0.3508283265028446,0.3343560555910534,0.3667263813741208,0.1426085829866565,0.13644055379789866,0.1487282804548349,0.522640844060704,0.5147005782842056,0.5310172505443863,0.8281874824421407,0.8147240220402663,0.8411910847689442
maxent,local_only,lowacc,0,50,0.7105366323242336,0.7003821860870091,0.7204506714765847,0.29449353903878334,0.2806167603993251,0.30786497517902156,0.16215335425711153,0.15502653851550832,0.16921000661700508,0.49050354414036973,0.4825441368793264,0.49856591812006273,0.8039899948984137,0.7909925853411662,0.8164051114535654
maxent,local_only,lowacc,5,50,0.6856427920075059,0.6748326239799222,0.6958645166428931,0.2690162219328881,0.25206090175369106,0.2857019965044916,0.1742946641951891,0.16591085511803463,0.1828193171340631,0.47540098100345834,0.4662020983986757,0.48459024855039523,0.7936152409294298,0.7780204119130772,0.8084776680626531
maxent,local_only,lowacc,10,50,0.6815715837006988,0.6706325353666431,0.6915550743013241,0.26111329434055797,0.24708349939096094,0.2750978706623602,0.17321757489833453,0.16397811660895778,0.1829357935451879,0.4606381435902746,0.4524509595652713,0.4688831390223468,0.8004751507502834,0.7859010317015106,0.8142328415059065
maxent,local_only,lowacc,20,30,0.6666567433337283,0.6522310701102233,0.6803983909042963,0.23573646291716557,0.21375120824381166,0.2580639695164808,0.16877996758641514,0.15552535143090498,0.1820970918738693,0.4296341199292342,0.4170825612456587,0.4428058790198671,0.8061023429879313,0.7867212832582059,0.8256400666452178
