entity,algorithm,track,axis,level,replicate,seed,status,n_folds_completed,n_features,benchmark_presence_n,contrast_pool_n,accessible_area_segment_count,reference_set_n,eval_mode,cv_auc,cv_auc_unweighted,cv_brier,cv_brier_unweighted,cv_sensitivity,cv_sensitivity_unweighted,cv_specificity,cv_specificity_unweighted,cv_tss,cv_tss_unweighted,cv_boyce,cv_boyce_unweighted,cv_omission_rate,auc,brier,sensitivity,specificity,tss,boyce,omission_rate,species,category,entity_type,n_experiment,grid_id,importance_spearman,importance_jaccard_top5,importance_jaccard_top10,niche_centroid_disp,niche_breadth_change,CLI_shift,LAC_shift,SOL_shift,TOP_shift,domain_rank_stability,schoener_d,warren_i,threshold_max_sss,threshold_p10,range_area_pct_change_03,range_area_pct_change_07,range_area_pct_change_maxsss,range_area_pct_change_p10,range_area_pct_change_maxsss_fix,suitability_mad,suitability_mean_shift,range_area_pct_change_05,gain_segments,loss_segments,stable_segments
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,0,3716260345,ok,5,296,880,11872,11872,152,reference_set,0.8871527501666047,0.8896284208200264,0.16061572690763057,0.18886751833015802,0.7844945365347323,0.6627833229168874,0.7936338565282914,0.8047017797017798,0.5781283930630239,0.4674851026186671,0.9604759638774522,0.8877901404349897,0.21550546346526767,0.8886818498191233,0.07670161177644712,0.6907894736842105,0.8993429919137467,0.5901324655979572,0.9999999999999999,0.3092105263157895,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,1,2160688974,ok,5,296,880,11872,11872,152,reference_set,0.8784443776387445,0.8780754751044931,0.16450865725578773,0.18771446396382765,0.7831466347960047,0.6791083080866931,0.7884116747098863,0.8139637571937517,0.5715583095058909,0.4930720652804448,0.8903215920401671,0.7107201956250326,0.21685336520399534,0.8919976459426868,0.07212636526946108,0.7105263157894737,0.9120619946091644,0.622588310398638,0.9757575757575757,0.2894736842105263,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,2,919572073,ok,5,296,880,11872,11872,152,reference_set,0.8751835174282216,0.8794239997604997,0.16652569819819815,0.18918060682113824,0.7611424330174331,0.670295650515879,0.7952210895759282,0.8393290128279342,0.5563635225933614,0.5096246633438131,0.9366851012248806,0.813224861059292,0.23885756698256688,0.893991778532416,0.07290515502328676,0.6907894736842105,0.9068396226415094,0.5976290963257198,0.9878787878787878,0.3092105263157895,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,3,3750381766,ok,5,296,880,11872,11872,152,reference_set,0.8791378010003683,0.8830867504160735,0.164501718552556,0.18258194771886957,0.7424125739923197,0.6550424381898688,0.800526758310079,0.888433810859771,0.5429393323023989,0.5434762490496399,0.9187736647591285,0.7576057805305666,0.25758742600768025,0.8903767378351539,0.07248321656686627,0.7171052631578947,0.9088611859838275,0.6259664491417221,0.9878787878787878,0.2828947368421053,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,4,3880378540,ok,5,296,880,11872,11872,152,reference_set,0.8751461807077295,0.8482847277194276,0.16736521709401708,0.20219106072069354,0.7393866014430861,0.6451175954958581,0.8105850165374117,0.8375763265465783,0.5499716179804975,0.48269392204243644,0.9548224945120909,0.8522920307130217,0.2606133985569139,0.8899425561249822,0.0744552870924817,0.7236842105263158,0.9037230458221024,0.6274072563484183,0.9878787878787878,0.2763157894736842,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,5,2679082170,ok,5,296,880,11872,11872,152,reference_set,0.8898766442583277,0.8501808361945942,0.1559479910414334,0.18688017790432554,0.8053007780063213,0.690433849388784,0.7941586025974405,0.8120242763772175,0.5994593806037618,0.5024581257660017,0.8904987088239052,0.6437654076941485,0.19469922199367873,0.8885920764470138,0.078081000332668,0.7039473684210527,0.898921832884097,0.6028692013051495,0.9878787878787878,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,6,33156149,ok,5,296,880,11872,11872,152,reference_set,0.897968670764413,0.8895894700899254,0.15093185185185184,0.17487575853429077,0.7802573684924827,0.6738903969195567,0.8162660373279731,0.7707459024622754,0.5965234058204559,0.4446362993818321,0.9567232759074548,0.8334176239152027,0.21974263150751727,0.8808239089764506,0.07901108416500333,0.7039473684210527,0.8930256064690026,0.5969729748900554,0.9999999999999999,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,7,2029980117,ok,5,296,880,11872,11872,152,reference_set,0.8828906479679643,0.8757305948268685,0.157119231981982,0.17619483750430934,0.782679451658219,0.6694568176521685,0.7656533925951974,0.679105264039829,0.5483328442534164,0.3485620816919973,0.8717974421333154,0.7107163851581251,0.21732054834178105,0.890404168587743,0.07432328443113773,0.7039473684210527,0.9027964959568733,0.6067438643779259,0.9999999999999999,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,,,,,,,,,,,,,,,,,,,,,,,,,
Austropotamobius torrentium (pooled),random_forest,combined,snapping,1,0,3424243180,ok,5,296,880,11872,11872,152,reference_set,0.8827194374040641,0.882103748990378,0.16251872004945583,0.19179778716934764,0.7820707826452286,0.660925524776823,0.7973996584151488,0.8211880711880711,0.5794704410603774,0.48211359596489417,0.9880872503105225,0.9553701201411,0.21792921735477144,0.8929790573130941,0.07675525133315757,0.7039473684210527,0.8984164420485176,0.6023638104695701,0.9999999999999999,0.29605263157894735,Austropotamobius torrentium,regional,DUAL,880,B,0.975806621796826,1.0,0.6666666666666666,1569271.8048021886,-1702.1347158341669,-0.0037562593812338063,-0.0010086576174945482,0.005362357986217314,-0.0005974409874889841,1.0,0.9569982070480184,0.9970174607792621,0.714,0.832,-0.1226993865030675,-0.42643923240938164,-0.45871559633027525,3.4782608695652173,-0.45871559633027525,0.014746918720318317,0.0010626925298421253,0.9205020920502093,71.0,60.0,1135.0
Austropotamobius torrentium (pooled),random_forest,combined,snapping,1,1,1007923265,ok,5,296,880,11872,11872,152,reference_set,0.8722986045890467,0.8657136760425873,0.16617511783019895,0.19070343334221507,0.7944082269519968,0.6848413168445742,0.7614047109560323,0.7260693569014341,0.5558129379080292,0.4109106737460085,0.8877507742890418,0.6979466099961095,0.20559177304800325,0.89079069282877,0.07261737658017299,0.6973684210526315,0.9125673854447439,0.6099358064973754,0.9636363636363635,0.3026315789473685,Austropotamobius torrentium,regional,DUAL,880,B,0.9772190217595969,1.0,0.6666666666666666,825973.7973467374,-3410.1934339501895,-0.004811698013205801,0.0012358966818701057,0.0017148214750146162,0.0018609798563210544,1.0,0.9544607935762367,0.9967609578998162,0.702,0.842,-2.236024844720497,0.0,-0.7537688442211055,-0.5714285714285714,-0.7537688442211055,0.015363376010781672,0.002424359838274933,-0.5747126436781609,61.0,67.0,977.0
