entity,algorithm,track,axis,level,replicate,seed,status,n_folds_completed,n_features,benchmark_presence_n,contrast_pool_n,accessible_area_segment_count,reference_set_n,eval_mode,cv_auc,cv_auc_unweighted,cv_brier,cv_brier_unweighted,cv_sensitivity,cv_sensitivity_unweighted,cv_specificity,cv_specificity_unweighted,cv_tss,cv_tss_unweighted,cv_boyce,cv_boyce_unweighted,cv_omission_rate,auc,brier,sensitivity,specificity,tss,boyce,omission_rate,species,category,entity_type,n_experiment,grid_id,importance_spearman,importance_jaccard_top5,importance_jaccard_top10,niche_centroid_disp,niche_breadth_change,CLI_shift,LAC_shift,SOL_shift,TOP_shift,domain_rank_stability,schoener_d,warren_i,threshold_max_sss,threshold_p10,range_area_pct_change_03,range_area_pct_change_07,range_area_pct_change_maxsss,range_area_pct_change_p10,range_area_pct_change_maxsss_fix,suitability_mad,suitability_mean_shift,range_area_pct_change_05,gain_segments,loss_segments,stable_segments
Procambarus clarkii (alien),random_forest,combined,benchmark,0,0,2968009524,ok,5,206,6150,48267,48267,1561,reference_set,0.9168237813475648,0.9102548662605805,0.12791301787013828,0.12854252201360822,0.848015272745919,0.8234146341463415,0.847632239559408,0.8513281148993821,0.6956475123053271,0.6747427490457236,0.9999999999999999,0.9999999999999998,0.15198472725408096,0.8971800398081953,0.07799165906719116,0.7591287636130686,0.8941720015745748,0.6533007651876432,0.9999999999999999,0.24087123638693142,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,1,1875673173,ok,5,206,6150,48267,48267,1561,reference_set,0.9145598212558759,0.9056044552131095,0.13057692843201044,0.13190649426101733,0.8443137037095809,0.8143089430894308,0.8407941120627425,0.8449438051908098,0.6851078157723233,0.6592527482802406,0.9941207783758206,0.9927272727272726,0.15568629629041908,0.8961828573488435,0.07903787268202617,0.7584881486226778,0.8906913626287112,0.649179511251389,0.9999999999999999,0.24151185137732223,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,2,1279788603,ok,5,206,6150,48267,48267,1561,reference_set,0.9127142249080196,0.906137502516773,0.13228437734617268,0.1337979639203895,0.8420024123531589,0.815609756097561,0.8532553200074837,0.8570391368084074,0.6952577323606427,0.6726488929059684,0.9999999999999999,0.9999999999999998,0.15799758764684113,0.8979438020045103,0.07819205627358113,0.757847533632287,0.8929289162367663,0.6507764498690531,0.9999999999999999,0.24215246636771304,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,3,7287557,ok,5,206,6150,48267,48267,1561,reference_set,0.9110807594787835,0.9054380522370395,0.1328391499471158,0.13277902360647809,0.8372663453263773,0.814308943089431,0.8424746550200588,0.8515212983498446,0.6797410003464363,0.6658302414392754,0.99020224209387,0.9878787878787877,0.16273365467362266,0.8969858392459189,0.07825480661475476,0.7642536835361947,0.893218969482255,0.6574726530184498,0.9999999999999999,0.23574631646380528,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,4,1899222849,ok,5,206,6150,48267,48267,1561,reference_set,0.9146983193472015,0.9077544666179899,0.12966527636068237,0.13054725730735256,0.8442345109072538,0.8211382113821137,0.8404147838505805,0.8417082909269347,0.6846492947578343,0.6628465023090484,0.9999999999999999,0.9999999999999998,0.15576548909274623,0.8957815024415691,0.07967166396403629,0.7559256886611146,0.8893861230240123,0.6453118116851271,0.9999999999999999,0.24407431133888535,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,5,1707040804,ok,5,206,6150,48267,48267,1561,reference_set,0.9149016265680012,0.9089124731729463,0.13008899942880456,0.13006069823569644,0.8422372816139422,0.8190243902439024,0.8506867590342971,0.8557993873114329,0.6929240406482394,0.6748237775553354,0.9964541374578094,0.9951515151515151,0.15776271838605782,0.8980202771029134,0.07855250309063176,0.7623318385650224,0.8951871879337849,0.6575190264988073,0.9999999999999999,0.2376681614349776,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,6,1935620922,ok,5,206,6150,48267,48267,1561,reference_set,0.9138508049187045,0.905315011904016,0.13027253054948612,0.1321747919021652,0.8412128078551967,0.8159349593495934,0.847662147205146,0.847896122441299,0.6888749550603426,0.6638310817908923,0.9999999999999999,0.9999999999999998,0.1587871921448033,0.8982072508878417,0.0775232515051778,0.7597693786034593,0.8953322145565293,0.6551015931599886,0.9999999999999999,0.24023062139654072,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,benchmark,0,7,1912938258,ok,5,206,6150,48267,48267,1561,reference_set,0.9148940338824336,0.9068543058415681,0.13167079382705968,0.13267809087808458,0.8496345877968455,0.8191869918699186,0.8458362996183156,0.8513751481992701,0.6954708874151613,0.6705621400691889,0.9923315790385275,0.9903030303030302,0.15036541220315447,0.8984486610865328,0.0768118939552059,0.7668161434977578,0.894834980421406,0.6616511239191638,0.9999999999999999,0.23318385650224216,Procambarus clarkii,widespread,DUAL,6150,B,,,,,,,,,,,,,,,,,,,,,,,,,
Procambarus clarkii (alien),random_forest,combined,snapping,1,0,743121474,ok,5,206,6150,48267,48267,1561,reference_set,0.9204594380479347,0.9098077745335423,0.11491698985404511,0.12409066016731421,0.829448265875148,0.8157381251032305,0.8670759582108808,0.8546047967085937,0.6965242240860288,0.670342921811824,0.9999999999999999,0.9999999999999998,0.17055173412485203,0.900636861578758,0.07799092343802971,0.7764253683536195,0.8934054322829262,0.6698308006365457,0.9999999999999999,0.22357463164638047,Procambarus clarkii,widespread,DUAL,6150,B,0.9919223036535649,0.6666666666666666,1.0,1221923.4214224957,9751.432906913571,0.009430315509740883,-5.536258758015444e-05,-0.008330270226678343,-0.0010446826954824129,1.0,0.9589275524160947,0.9966296936219388,0.6958674337168581,0.836,-0.7911392405063291,0.29799914857386123,-0.16680567139282734,1.6456921587608906,0.34615384615384615,0.012900538292125714,0.00016783932694492697,0.7243539545810493,208.0,171.0,4937.0
Procambarus clarkii (alien),random_forest,combined,snapping,1,1,1890279313,ok,5,206,6150,48267,48267,1561,reference_set,0.9217750002174847,0.9160008080919353,0.11632102913636412,0.1221954828345797,0.8306498649486345,0.8155382320191084,0.8758715620288835,0.8747229755866371,0.706521426977518,0.6902612076057454,0.9941165584679955,0.9927272727272726,0.16935013505136554,0.8974266660280028,0.07910329096028978,0.7604099935938501,0.8908571073404189,0.651267100934269,0.9999999999999999,0.2395900064061499,Procambarus clarkii,widespread,DUAL,6150,B,0.9935655739674131,1.0,0.8181818181818182,1590197.6753476225,35522.535429241136,0.0018920452751894357,0.0005045762427217902,-0.0067576510303290205,0.004361029512417736,1.0,0.9599734700785757,0.9968172182052207,0.68,0.836,0.2926280247608329,0.5828476269775187,-0.6679035250463822,2.611218568665377,0.5828476269775187,0.012630779779539804,0.00036936169541054855,-0.1516300227445034,150.0,158.0,5118.0
