rep,level,mode,d_str1,n,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,3,plain,0.40322580645160855,744,0.8276763961017164,0.44900438682867927,3.51008215085885,5.36231884057971,0.01864492535402133,0.9205237732947915
0,3,stratified,0.0,744,0.8183537074281823,0.4474078085741232,3.8834951456310676,1.6541353383458646,0.01953646189273163,0.9170556605747284
0,10,plain,2.1505376344086002,744,0.7940870694110617,0.37030117966419784,3.5847647498132935,4.328358208955224,0.02674831806425608,0.8849037162139078
0,10,stratified,0.0,744,0.8185434368553663,0.44571673645601084,6.572068707991038,-1.3582342954159592,0.029660322495080632,0.8724312567170466
0,20,plain,0.8064516129032242,744,0.7661846951700654,0.4072393827951445,4.032860343539955,6.529209621993128,0.03805763713041973,0.8403954760897264
0,20,stratified,0.0,744,0.7818945681431537,0.41021989733538317,5.3024645257654965,7.57825370675453,0.03716470304400469,0.8422975622381607
1,3,plain,0.5376344086021518,744,0.8505319684413424,0.4824125207361992,-1.1529592621060722,-0.18148820326678766,0.019178001177951563,0.9183610787069766
1,3,stratified,0.0,744,0.8565277945652058,0.5230900331227617,1.1529592621060722,2.3140495867768593,0.018791173763490973,0.9188476126529854
1,10,plain,-0.40322580645161565,744,0.834168483070973,0.45900799974107015,4.458109146810147,3.577235772357724,0.02567415606098652,0.888101264236689
1,10,stratified,0.0,744,0.8182600123674765,0.407021595952363,1.9984627209838586,9.54954954954955,0.02998019594808789,0.8715663539881123
1,20,plain,0.5376344086021518,744,0.8337729357452516,0.4553166530738975,2.4596464258262873,4.4657097288676235,0.03716646752590025,0.8416911007627594
1,20,stratified,0.0,744,0.8150050213113657,0.43956004836637813,2.3059185242121445,11.882998171846435,0.0315369209938362,0.8647463755932306
2,3,plain,-0.13440860215053618,744,0.8333094115842529,0.45101317899323395,-0.15026296018031557,0.33444816053511706,0.019607697250188117,0.916992717469297
2,3,stratified,0.0,744,0.8428035885842096,0.4851325702526218,-2.779864763335838,-0.33333333333333337,0.01998150762867801,0.9130711714750314
2,10,plain,1.0752688172042966,744,0.8110191172597069,0.4429196014857495,7.588279489105935,7.38255033557047,0.02692629810013796,0.8828389467643858
2,10,stratified,0.0,744,0.8295734984234597,0.4276334302423714,-2.0285499624342602,2.671118530884808,0.026926490667845776,0.8860134145293947
2,20,plain,1.0752688172042966,744,0.78929673630009,0.3958337174986301,-0.4507888805409466,4.0472175379426645,0.03745381856217084,0.8414763131499128
2,20,stratified,0.0,744,0.7992505309792858,0.4119601265369718,1.1269722013523666,8.23293172690763,0.03941096814102128,0.8334422224231272
3,3,plain,0.40322580645160855,744,0.8599077652699559,0.4693997282319091,-1.0541110330288124,1.910828025477707,0.017763008262154892,0.928810969136689
3,3,stratified,0.0,744,0.8581511124614273,0.44336970905744444,-3.021784961349262,-1.3803680981595092,0.020261796439206708,0.9174761939917488
