rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,0,0,0.0,0.8452321294239743,0.5034121105736041,,,,
0,100,10,0.6796116504854368,0.8576648120029212,0.5135950241683978,-2.360876897133221,-9.641255605381167,0.024549865229110512,0.9264406516927803
0,100,20,1.941747572815534,0.8523101922876871,0.4975181956924806,-5.733558178752108,-10.666666666666668,0.024503874663072772,0.9306631093107106
0,100,50,4.069767441860465,0.8429020369761989,0.4670426941259918,-25.88532883642496,-23.88059701492537,0.04109316037735849,0.9031593088081205
0,250,10,1.4563106796116503,0.847592348645284,0.49905218143830243,-4.63743676222597,-8.348794063079778,0.018029312668463613,0.9493160396297168
0,250,20,2.6213592233009706,0.8496611340723929,0.49986468048989185,-5.81787521079258,-10.096153846153847,0.025172338274932614,0.9279983673718523
0,250,50,4.263565891472868,0.8542270857262748,0.5048227225505829,-25.54806070826307,-23.14814814814815,0.040829514824797845,0.9018466952627159
0,500,10,1.4563106796116503,0.8529534409532833,0.5163775063854129,0.08431703204047217,-6.263498920086392,0.021248315363881404,0.9374911520634823
0,500,20,2.815533980582524,0.854156271380728,0.49481607794865523,-3.541315345699832,-9.579439252336448,0.025567890835579518,0.9261300705716163
0,500,50,7.3643410852713185,0.8480539565349782,0.4799096178034517,-27.150084317032043,-21.75925925925926,0.043529818059299195,0.89517836471056
1,0,0,0.0,0.8228123013159601,0.44937908886395256,,,,
1,100,10,1.0679611650485437,0.823504970038683,0.4663845794694657,-6.292352371732816,-3.0848329048843186,0.023152964959568728,0.931685401522223
1,100,20,1.262135922330097,0.8274079947887091,0.44114869792848327,-7.841239109390126,-13.18051575931232,0.02490886118598383,0.9270302506706858
1,100,50,3.77906976744186,0.8169577630922216,0.4223553982471625,-23.23330106485963,-31.05590062111801,0.03420400943396227,0.9132141440621553
1,250,10,1.262135922330097,0.8323008276930604,0.4630042583984588,-3.77541142303969,-0.7792207792207793,0.02421984501347709,0.9267476633059488
1,250,20,1.7475728155339807,0.8254545591623493,0.46969571165073326,-6.195546950629235,-7.629427792915531,0.026151785714285718,0.9234081481219537
1,250,50,3.875968992248062,0.8130862159613558,0.40015836244327657,-22.94288480154889,-31.05590062111801,0.03757479784366576,0.9036379971159842
1,500,10,1.3592233009708736,0.8226018779155619,0.44293646899074357,-4.743465634075508,-6.511627906976744,0.0176438679245283,0.9501941390804227
1,500,20,2.815533980582524,0.8242942350947231,0.44982621981736337,-6.9699903194578905,-10.626702997275205,0.02615043800539084,0.9238040630485942
1,500,50,6.104651162790697,0.82347519571476,0.43550216113897705,-23.523717328170378,-29.518072289156628,0.03540026954177898,0.9099700772309076
2,0,0,0.0,0.8393067753952754,0.4851957304014049,,,,
2,100,10,0.8737864077669903,0.845239368164245,0.4900650293043597,-2.006980802792321,-10.022779043280181,0.027828504043126683,0.9161698089015777
2,100,20,1.3592233009708736,0.8523329955727111,0.51133070899879,-12.652705061082026,-10.098522167487685,0.025804245283018872,0.9284999737506499
2,100,50,3.2945736434108532,0.8573679599243976,0.49978508428529766,-30.628272251308903,-21.875,0.04074326145552561,0.9049055227985668
2,250,10,0.970873786407767,0.8458452111459744,0.4873660710893519,-4.799301919720768,-9.113300492610838,0.023614723719676555,0.9305265292092784
2,250,20,1.8446601941747574,0.8473603357681765,0.5075570242974075,-12.041884816753926,-12.5,0.02385933288409704,0.9349504034507439
2,250,50,4.748062015503876,0.8503735433943755,0.4890325417725703,-31.675392670157066,-22.485207100591715,0.04246866576819407,0.9014962433303345
2,500,10,1.8446601941747574,0.8486660480433499,0.4930565219591011,-5.4101221640488655,-9.048723897911833,0.02613039083557952,0.9212960325724486
2,500,20,3.6893203883495147,0.847557709206413,0.48958615197197036,-10.209424083769633,-7.163323782234957,0.025633928571428575,0.9274643899636629
2,500,50,8.430232558139535,0.8468411774744732,0.4456047406678316,-33.42059336823734,-17.91907514450867,0.04269120619946092,0.902783863027948
3,0,0,0.0,0.8473113704433894,0.46576899022613694,,,,
3,100,10,0.4854368932038835,0.8548923080947669,0.47831091517348895,-4.787714543812105,-0.9074410163339384,0.023670316711590297,0.9291990176803473
