entity,dist_m,n,p_change,denv_given_change
Astacus astacus,100,2058,0.07802883057985098,0.3367462754249573
Astacus astacus,250,2058,0.12673307418205376,0.3391779363155365
Astacus astacus,500,2058,0.1836248785228377,0.32932180166244507
Astacus astacus,1000,2058,0.2416284355424297,0.32917559146881104
Astacus astacus,2000,2058,0.3334821827736851,0.3318551778793335
Pontastacus leptodactylus (pooled),100,1496,0.11620989304812834,0.5067864656448364
Pontastacus leptodactylus (pooled),250,1496,0.14771454036159917,0.489319384098053
Pontastacus leptodactylus (pooled),500,1496,0.1820152682285035,0.48017507791519165
Pontastacus leptodactylus (pooled),1000,1496,0.24121375597812764,0.47473010420799255
Pontastacus leptodactylus (pooled),2000,1496,0.33597581151804695,0.4719654619693756
Austropotamobius torrentium (pooled),100,1032,0.03989018087855297,0.5305681228637695
Austropotamobius torrentium (pooled),250,1032,0.05902777777777777,0.5367053151130676
Austropotamobius torrentium (pooled),500,1032,0.10490956072351419,0.48434627056121826
Austropotamobius torrentium (pooled),1000,1032,0.18667251138181368,0.469538152217865
Austropotamobius torrentium (pooled),2000,1032,0.33239657091401276,0.4687469005584717
Austropotamobius fulcisianus (pooled),100,744,0.01489695340501792,0.4626599848270416
Austropotamobius fulcisianus (pooled),250,744,0.02867383512544803,0.48401641845703125
Austropotamobius fulcisianus (pooled),500,744,0.049126344086021505,0.4690171182155609
Austropotamobius fulcisianus (pooled),1000,744,0.08573028673835126,0.4443035125732422
Austropotamobius fulcisianus (pooled),2000,744,0.18153801843317968,0.438475638628006
Procambarus clarkii (native),100,1915,0.022019147084421233,0.2368004322052002
Procambarus clarkii (native),250,1915,0.06198868581375108,0.18895240128040314
Procambarus clarkii (native),500,1915,0.12763645405943055,0.18813955783843994
Procambarus clarkii (native),1000,1915,0.2270382112810311,0.19023407995700836
Procambarus clarkii (native),2000,1915,0.36375740012815727,0.2068760097026825
Procambarus clarkii (alien),100,7711,0.04304456836553841,0.30612796545028687
Procambarus clarkii (alien),250,7711,0.08576204268073027,0.28527238965034485
Procambarus clarkii (alien),500,7711,0.1578684312992444,0.27533772587776184
Procambarus clarkii (alien),1000,7711,0.26658077166518124,0.2862337529659271
Procambarus clarkii (alien),2000,7711,0.4138136945767991,0.3003988564014435
Pacifastacus leniusculus (alien),100,4171,0.05410373211859665,0.36296749114990234
Pacifastacus leniusculus (alien),250,4171,0.08439679875786324,0.35134100914001465
Pacifastacus leniusculus (alien),500,4171,0.1389062042142838,0.3356057107448578
Pacifastacus leniusculus (alien),1000,4171,0.22792488020251145,0.32528436183929443
Pacifastacus leniusculus (alien),2000,4171,0.3814351823675249,0.32021021842956543
Faxonius limosus (alien),100,3811,0.06935250090589898,0.33861634135246277
Faxonius limosus (alien),250,3811,0.10732132965142674,0.31826916337013245
Faxonius limosus (alien),500,3811,0.15696800065732106,0.31234079599380493
Faxonius limosus (alien),1000,3811,0.23375442187549555,0.3091719448566437
Faxonius limosus (alien),2000,3811,0.36067772119090297,0.3107164204120636
Lacunicambarus diogenes,100,1117,0.05790808713816772,0.3428020179271698
Lacunicambarus diogenes,250,1117,0.06756938227394807,0.3322018086910248
Lacunicambarus diogenes,500,1117,0.09062220232766338,0.2877518832683563
Lacunicambarus diogenes,1000,1117,0.14541181736794986,0.25101709365844727
Lacunicambarus diogenes,2000,1117,0.24997479890049268,0.23888139426708221
Cambarus latimanus,100,1008,0.122255291005291,0.27814915776252747
Cambarus latimanus,250,1008,0.13655753968253967,0.27542343735694885
Cambarus latimanus,500,1008,0.16813822751322752,0.25548750162124634
Cambarus latimanus,1000,1008,0.21693830309901735,0.24654601514339447
Cambarus latimanus,2000,1008,0.3315913170823885,0.23920871317386627
Cambarus striatus,100,747,0.05488621151271754,0.3198101222515106
Cambarus striatus,250,747,0.07764390896921017,0.2870589792728424
Cambarus striatus,500,747,0.11396697902721999,0.2562108039855957
Cambarus striatus,1000,747,0.16982214572576018,0.2526039481163025
Cambarus striatus,2000,747,0.28321008903338224,0.2515453100204468
Creaserinus fodiens,100,622,0.08290460878885315,0.32823240756988525
Creaserinus fodiens,250,622,0.09670418006430868,0.3090148866176605
Creaserinus fodiens,500,622,0.13241846577859437,0.26694047451019287
Creaserinus fodiens,1000,622,0.21369749400296023,0.24592076241970062
Creaserinus fodiens,2000,622,0.3281918659803093,0.24691098928451538
Faxonius limosus (native),100,363,0.050734618916437095,0.37742429971694946
Faxonius limosus (native),250,363,0.08057851239669421,0.3470858037471771
Faxonius limosus (native),500,363,0.1123048668503214,0.33761653304100037
Faxonius limosus (native),1000,363,0.1852157943067034,0.33407488465309143
Faxonius limosus (native),2000,363,0.3057064147973239,0.3257780373096466
