entity,axis,nominal,bench,pool,pool_overlap,p_new,p_dup,p_lost,jaccard
Astacus astacus,snapping,1,2058,151,0.225,0.772594752186589,23.809523809523807,1.0155490767735667,0.9822560369710353
Astacus astacus,snapping,2,2058,151,0.225,1.5646258503401358,20.731707317073177,1.9776482021379982,0.9651234784891812
Astacus astacus,snapping,5,2058,151,0.225,3.892128279883382,21.31067961165049,4.958697764820214,0.9148081870284885
Astacus astacus,lowacc,3,2058,1813,0.017,2.9689018464528667,1.3709677419354838,3.010204081632654,0.9419329999375364
Astacus astacus,lowacc,10,2058,1813,0.017,9.829931972789115,1.6504854368932036,9.995140913508264,0.819493430037828
Astacus astacus,lowacc,20,2058,1813,0.017,19.65743440233236,1.4199029126213591,19.94169096209913,0.6690634211826741
Pontastacus leptodactylus (pooled),snapping,1,1496,257,0.163,0.8823529411764708,11.66666666666667,0.9993315508021395,0.9813484535411343
Pontastacus leptodactylus (pooled),snapping,2,1496,257,0.163,1.667780748663102,16.833333333333336,2.005347593582888,0.9638727844140073
Pontastacus leptodactylus (pooled),snapping,5,1496,257,0.163,4.204545454545454,15.533333333333331,4.983288770053477,0.9118305500461463
Pontastacus leptodactylus (pooled),lowacc,3,1496,649,0.12,2.6336898395721926,11.88888888888889,2.991310160427807,0.9451946369892941
Pontastacus leptodactylus (pooled),lowacc,10,1496,649,0.12,8.786764705882351,10.833333333333336,9.872994652406417,0.8284804468056588
Pontastacus leptodactylus (pooled),lowacc,20,1496,649,0.12,17.560160427807485,9.732441471571903,19.505347593582886,0.6847147708318551
Austropotamobius torrentium (pooled),snapping,1,1032,52,0.019,0.9447674418604649,2.5,0.9689922480620153,0.9810416862569395
Austropotamobius torrentium (pooled),snapping,2,1032,52,0.019,1.9961240310077517,1.9047619047619047,2.034883720930232,0.9604790224562091
Austropotamobius torrentium (pooled),snapping,5,1032,52,0.019,4.941860465116278,1.8269230769230766,5.033914728682171,0.9049399815327792
Austropotamobius torrentium (pooled),lowacc,3,1032,1211,0.01,2.955426356589148,1.4516129032258063,2.999031007751939,0.9421650646193822
Austropotamobius torrentium (pooled),lowacc,10,1032,1211,0.01,9.883720930232556,0.8252427184466018,9.966085271317828,0.819357054623825
Austropotamobius torrentium (pooled),lowacc,20,1032,1211,0.01,19.786821705426355,0.7281553398058251,19.932170542635657,0.6684203775579911
Austropotamobius fulcisianus (pooled),snapping,1,744,112,0.0,0.9408602150537633,0.0,0.9408602150537633,0.9813581890812249
Austropotamobius fulcisianus (pooled),snapping,2,744,112,0.0,2.016129032258064,0.0,2.016129032258064,0.9604743083003952
Austropotamobius fulcisianus (pooled),snapping,5,744,112,0.0,4.973118279569891,0.0,4.973118279569891,0.9052496798975674
Austropotamobius fulcisianus (pooled),lowacc,3,744,169,0.012,2.9166666666666665,1.3636363636363638,2.9569892473118276,0.9429285388873835
Austropotamobius fulcisianus (pooled),lowacc,10,744,169,0.012,9.8252688172043,1.1486486486486487,9.939516129032256,0.8200348768847991
Austropotamobius fulcisianus (pooled),lowacc,20,744,169,0.012,19.78494623655914,0.87248322147651,19.959677419354836,0.6682003140523319
Procambarus clarkii (native),snapping,1,1915,330,0.112,0.8746736292428198,11.842105263157894,0.9921671018276762,0.9814940139987434
Procambarus clarkii (native),snapping,2,1915,330,0.112,1.7571801566579635,11.184210526315788,1.9791122715404699,0.9632837071756167
Procambarus clarkii (native),snapping,5,1915,330,0.112,4.483028720626632,9.583333333333332,4.9634464751958225,0.9095898660424044
Procambarus clarkii (native),lowacc,3,1915,697,0.544,1.331592689295039,53.68421052631579,2.9295039164490855,0.9579539902774575
Procambarus clarkii (native),lowacc,10,1915,697,0.544,4.608355091383812,48.359375,9.456919060052218,0.8655556926599326
Procambarus clarkii (native),lowacc,20,1915,697,0.544,9.120104438642299,43.52480417754568,17.825065274151434,0.7530746240824351
Procambarus clarkii (alien),snapping,1,7711,969,0.158,0.8448969005317081,15.259740259740258,0.9972766178187006,0.9817327312519872
Procambarus clarkii (alien),snapping,2,7711,969,0.158,1.685903255090131,15.324675324675324,1.9919595383218778,0.9638314080173978
Procambarus clarkii (alien),snapping,5,7711,969,0.158,4.186227467254571,15.531088082901556,4.963688237582675,0.9121778767040565
Procambarus clarkii (alien),lowacc,3,7711,10843,0.311,2.1086759175204257,28.809523809523807,2.9717286992607965,0.9502460985201218
Procambarus clarkii (alien),lowacc,10,7711,10843,0.311,6.895344313318636,27.827496757457848,9.677733108546233,0.8449614919277264
Procambarus clarkii (alien),lowacc,20,7711,10843,0.311,13.760861107508754,24.97081712062257,18.754376864219946,0.7141824532302545
Pacifastacus leniusculus (alien),snapping,1,4171,350,0.177,0.8307360345240951,17.142857142857142,1.0033565092304002,0.9818104383426937
Pacifastacus leniusculus (alien),snapping,2,4171,350,0.177,1.647087029489331,16.626506024096386,1.977942939343083,0.9643374166025982
Pacifastacus leniusculus (alien),snapping,5,4171,350,0.177,4.106928794054183,17.200956937799045,4.968832414289139,0.9128232771870802
Pacifastacus leniusculus (alien),lowacc,3,4171,978,0.005,2.9765044353871977,0.64,2.9956844881323423,0.9420044015239929
Pacifastacus leniusculus (alien),lowacc,10,4171,978,0.005,9.944857348357708,0.4916067146282973,9.994006233517144,0.8186467287708881
Pacifastacus leniusculus (alien),lowacc,20,4171,978,0.005,19.892112203308557,0.39568345323741005,19.971229920882287,0.6675065780270568
Faxonius limosus (alien),snapping,1,3811,352,0.21,0.8016268695880346,19.473684210526315,0.9958016268695882,0.9821689471027997
Faxonius limosus (alien),snapping,2,3811,352,0.21,1.5875098399370242,20.263157894736842,1.9916032537391763,0.9647688373718303
Faxonius limosus (alien),snapping,5,3811,352,0.21,3.939910784570978,20.628272251308903,4.973760167934925,0.9142430471998386
Faxonius limosus (alien),lowacc,3,3811,1999,0.002,2.990028863815271,0.043859649122807015,2.991340855418525,0.9419228299473434
Faxonius limosus (alien),lowacc,10,3811,1999,0.002,9.973760167934927,0.2099737532808399,9.994752033586984,0.8184247909776907
Faxonius limosus (alien),lowacc,20,3811,1999,0.002,19.955392285489367,0.16404199475065617,19.988192075570716,0.6670130421486957
Lacunicambarus diogenes,snapping,1,1117,104,0.01,0.971351835273053,1.3636363636363635,0.9847806624888095,0.9806269547597022
Lacunicambarus diogenes,snapping,2,1117,104,0.01,1.942703670546106,1.3636363636363635,1.969561324977619,0.9616230591074404
Lacunicambarus diogenes,snapping,5,1117,104,0.01,4.977618621307074,0.625,5.008952551477171,0.9048697005141275
Cambarus latimanus,snapping,1,1008,67,0.06,0.9424603174603172,5.0,0.9920634920634919,0.9808358074392431
Cambarus latimanus,snapping,2,1008,67,0.06,1.8551587301587298,6.500000000000002,1.9841269841269837,0.9623073408947491
Cambarus latimanus,snapping,5,1008,67,0.06,4.66765873015873,5.400000000000001,4.9355158730158735,0.9082515045370766
Cambarus striatus,snapping,1,747,61,0.0,0.9370816599732265,0.0,0.9370816599732265,0.9814323607427055
Cambarus striatus,snapping,2,747,61,0.0,2.0080321285140568,0.0,2.0080321285140568,0.9606299212598423
Cambarus striatus,snapping,5,747,61,0.0,4.953145917001338,0.0,4.953145917001338,0.9056122448979591
Creaserinus fodiens,snapping,1,622,111,0.036,0.9083601286173634,5.833333333333333,0.9646302250803863,0.9814395168646468
Creaserinus fodiens,snapping,2,622,111,0.036,1.8408360128617363,4.583333333333334,1.9292604501607726,0.9629815784780668
Creaserinus fodiens,snapping,5,622,111,0.036,4.887459807073955,1.935483870967742,4.983922829581995,0.9058871108551161
Faxonius limosus (native),snapping,1,363,20,0.05,1.019283746556474,7.5,1.1019283746556474,0.979003439496136
Faxonius limosus (native),snapping,2,363,20,0.05,1.8457300275482091,4.285714285714285,1.9283746556473822,0.9629444078224567
Faxonius limosus (native),snapping,5,363,20,0.05,4.683195592286502,5.555555555555556,4.9586776859504145,0.9078947368421055
