axis,level,algorithm,metric,delta,lo95,hi95,n_ent,n,sig
lowacc,3,maxent,auc,-0.021392575822465006,-0.03275041472862841,-0.011107259593269778,8,240,*
lowacc,3,maxent,tss,-0.04222646994133432,-0.06865072437768166,-0.020160726310910326,8,240,*
lowacc,3,maxent,brier,0.015860949880151905,0.008013609868739347,0.02445370069727809,8,240,*
lowacc,3,maxent,sensitivity,-0.006712483165773801,-0.01957459802781656,0.005973758621996072,8,240,
lowacc,3,maxent,specificity,-0.03551398677556057,-0.05558989631676657,-0.015556098315273928,8,240,*
lowacc,3,random_forest,auc,-0.012278820206374445,-0.026006230445120508,0.0007670737155553262,8,240,
lowacc,3,random_forest,tss,-0.032807753438703985,-0.06311271800518126,-0.0031434188018954444,8,240,*
lowacc,3,random_forest,brier,0.006807593562893497,0.002288027305952278,0.011509234470948744,8,240,*
lowacc,3,random_forest,sensitivity,-0.0023845211092956404,-0.015489619436431167,0.00794469383849649,8,240,
lowacc,3,random_forest,specificity,-0.03042323232940834,-0.06261149865714408,5.103476648165311e-06,8,240,
lowacc,3,xgboost,auc,-0.012730800279964542,-0.026228655046181295,0.00094897776606303,8,240,
lowacc,3,xgboost,tss,-0.020419367202327808,-0.049174083126582634,0.007825527942461942,8,240,
lowacc,3,xgboost,brier,0.0030256346481057177,-0.005041771388897526,0.01044995036013672,8,240,
lowacc,3,xgboost,sensitivity,-0.005333369038281934,-0.019632322854656416,0.010121986055368255,8,240,
lowacc,3,xgboost,specificity,-0.015085998164045844,-0.04878103235600152,0.013734990369944838,8,240,
lowacc,10,maxent,auc,-0.032064825507443134,-0.04372350281538731,-0.02017325987866741,8,240,*
lowacc,10,maxent,tss,-0.06338142220757073,-0.08590329929233621,-0.04326565970954251,8,240,*
lowacc,10,maxent,brier,0.025678508957439575,0.016562473439372935,0.03540240406456019,8,240,*
lowacc,10,maxent,sensitivity,-0.01997377627130256,-0.03308324819756495,-0.008222419613620068,8,240,*
lowacc,10,maxent,specificity,-0.04340764593626822,-0.06155985260688465,-0.026055689767609833,8,240,*
lowacc,10,random_forest,auc,-0.023229448521622807,-0.03543537224323233,-0.010645563695900445,8,240,*
lowacc,10,random_forest,tss,-0.05500400600763895,-0.08131966660789706,-0.02777204533538582,8,240,*
lowacc,10,random_forest,brier,0.01196777287970419,0.005331304264669709,0.018319238321525735,8,240,*
lowacc,10,random_forest,sensitivity,-0.015370805924003864,-0.03706442236586219,0.004365904460666253,8,240,
lowacc,10,random_forest,specificity,-0.03963320008363508,-0.07021936493181771,-0.011351558172403459,8,240,*
lowacc,10,xgboost,auc,-0.022892648048011017,-0.03456010970074169,-0.010778680446088826,8,240,*
lowacc,10,xgboost,tss,-0.046666642255065435,-0.07295226935294458,-0.019019253409049516,8,240,*
lowacc,10,xgboost,brier,0.009455597055270678,-0.001948797646759212,0.019438819614170946,8,240,
lowacc,10,xgboost,sensitivity,-0.019128551885039348,-0.0422868338729296,0.0038117287119730204,8,240,
lowacc,10,xgboost,specificity,-0.027538090370026042,-0.0589490778568146,0.004176984023515444,8,240,
lowacc,20,maxent,auc,-0.04317273021680228,-0.058456765176378496,-0.029030534576275222,8,240,*
lowacc,20,maxent,tss,-0.08918772978179945,-0.11364983318765892,-0.0669033115257602,8,240,*
lowacc,20,maxent,brier,0.032123591135160466,0.020846368817674002,0.04455361970144337,8,240,*
lowacc,20,maxent,sensitivity,-0.03999012205986419,-0.055593428325432924,-0.026631989218285183,8,240,*
lowacc,20,maxent,specificity,-0.04919760772193532,-0.06180732070828412,-0.035859588850308724,8,240,*
lowacc,20,random_forest,auc,-0.03568930807380856,-0.053607689963583206,-0.017939564117328867,8,240,*
lowacc,20,random_forest,tss,-0.07265245587631303,-0.10985138136320488,-0.03801319515112715,8,240,*
lowacc,20,random_forest,brier,0.01379384619320254,0.004501103985663608,0.022990768074450125,8,240,*
lowacc,20,random_forest,sensitivity,-0.02623980176621014,-0.05694816089907049,0.0009959154048081635,8,240,
lowacc,20,random_forest,specificity,-0.04641265411010287,-0.07378482717625226,-0.0203713137819757,8,240,*
lowacc,20,xgboost,auc,-0.034967053553834906,-0.051634934716679376,-0.01844287867104724,8,240,*
lowacc,20,xgboost,tss,-0.06583690235828996,-0.1012809112391491,-0.03198822420644752,8,240,*
lowacc,20,xgboost,brier,0.011540428407050746,-0.0027868209398771607,0.024555733815577845,8,240,
lowacc,20,xgboost,sensitivity,-0.03003314584137811,-0.05899754222565119,-0.000945815270691852,8,240,*
