entity,alg,axis,level,n,bench,pool,need,pool_slack,sd_bg,sd_model,sd_unpaired,sd_paired,gain,eff_paired,eff_unpaired
Astacus astacus,maxent,lowacc,20,15,2058,1813,412,4.4,3.0110969167934543,0.415019906318796,4.065594260789203,3.5436785328598113,1.1472807770484181,54.41294882104216,53.46971444883105
Austropotamobius fulcisianus (pooled),maxent,lowacc,20,15,744,169,149,1.13,6.333390297060368,0.8628061913612488,7.798571106934461,5.847075084331173,1.3337559368500076,22.75691873901305,23.55304417272131
Austropotamobius torrentium (pooled),maxent,lowacc,20,15,1032,1211,206,5.88,4.5840452176322595,0.5494425859922629,6.799891759643371,6.160956226827845,1.1037072021439278,55.06778984263909,58.7794566022379
Pontastacus leptodactylus (pooled),maxent,lowacc,20,15,1496,649,299,2.17,2.926836832589928,0.30717195859844665,2.862861760883917,2.2673724141792313,1.2626341147050815,13.826478198295543,13.686027640552014
Procambarus clarkii (alien),maxent,lowacc,20,15,7711,10843,1542,7.03,3.436795287754466,0.5672662366168679,2.264229376823462,1.448129397520057,1.563554597193447,10.454850575851621,9.138773422775877
Procambarus clarkii (native),maxent,lowacc,20,15,1915,697,383,1.82,4.166663303392007,0.3915499594310218,5.211962246410399,2.3583588804660724,2.209995386868508,6.514749144946901,5.392938441464063
Astacus astacus,random_forest,lowacc,20,15,2058,1813,412,4.4,4.446730485932332,0.8132127523435821,6.325528606270166,4.095714306702388,1.5444262301007718,39.05451906130187,38.36009692300387
Austropotamobius fulcisianus (pooled),random_forest,lowacc,20,15,744,169,149,1.13,5.634328676351299,1.3114530671181808,9.29729114755378,4.604539486717155,2.0191576539573473,19.237591289256986,20.61370275324776
Austropotamobius torrentium (pooled),random_forest,lowacc,20,15,1032,1211,206,5.88,5.440867467635488,1.4846031145284595,11.277831622069773,6.319646455591152,1.7845668584975964,72.82445403034004,72.6123955103881
Faxonius limosus (alien),random_forest,lowacc,20,15,3811,1999,762,2.62,2.653136078726139,0.579394496209144,4.246129252166182,2.9882824844877405,1.4209263261448541,36.50210954239696,36.92025085955423
Pacifastacus leniusculus (alien),random_forest,lowacc,20,15,4171,978,834,1.17,3.0550251638921555,0.5835424059751796,5.6029663522650175,2.189685678988794,2.558799377476173,49.49733140705595,48.27557748458334
Pontastacus leptodactylus (pooled),random_forest,lowacc,20,15,1496,649,299,2.17,4.776555471111494,1.032242012746209,6.337729347487008,3.045529864670673,2.080993990900278,13.59065730252966,12.56093062714837
Procambarus clarkii (alien),random_forest,lowacc,20,15,7711,10843,1542,7.03,1.6924194019741179,0.31615724713983095,4.500031748207005,2.1845869736125323,2.0599004766404643,24.640893141731137,25.511978223426485
Procambarus clarkii (native),random_forest,lowacc,20,15,1915,697,383,1.82,5.846965347184677,1.20044798354828,4.474448368749082,2.180204452202335,2.052306775279362,4.712919968364217,6.7608032534407405
Astacus astacus,xgboost,lowacc,20,15,2058,1813,412,4.4,4.917296975709178,1.5257451360862995,6.664897861184512,4.337722762487731,1.5364969653713232,52.74922751585031,49.8711310850539
Austropotamobius fulcisianus (pooled),xgboost,lowacc,20,15,744,169,149,1.13,6.460464821073061,1.723652994290051,8.865681503187115,3.451348553748826,2.5687586649448333,11.597830026056805,14.750902546115272
Austropotamobius torrentium (pooled),xgboost,lowacc,20,15,1032,1211,206,5.88,3.80491645187173,1.6710494160363611,12.964198714845635,6.1133970851843715,2.120621077643389,87.38136488578041,88.68465991658813
Faxonius limosus (alien),xgboost,lowacc,20,15,3811,1999,762,2.62,3.586041721394529,1.1920500280872457,3.456268365190486,1.993411616503421,1.7338458031327293,34.151719858377064,33.180119862947436
Pacifastacus leniusculus (alien),xgboost,lowacc,20,15,4171,978,834,1.17,2.611786511191896,1.0364133371508466,4.325321827368519,3.2340483990142084,1.3374326211960679,49.081211585924436,47.50903996201302
Pontastacus leptodactylus (pooled),xgboost,lowacc,20,15,1496,649,299,2.17,4.454120354694038,1.32989224173319,6.603933824782817,3.340280300927319,1.9770597763754891,15.376029463360204,13.981511764433536
Procambarus clarkii (alien),xgboost,lowacc,20,15,7711,10843,1542,7.03,1.3393853055639535,0.8823660642613975,4.285849511244703,2.0989535939862707,2.041898174177898,24.94840128241264,25.601620839912968
Procambarus clarkii (native),xgboost,lowacc,20,15,1915,697,383,1.82,4.570069882002153,1.0627934439957556,5.362532423457832,2.3435635691440777,2.2881958458743026,4.047632190380253,6.759403305189244
