arm,alg,rep,range_pct,schoener
A_bg_only,random_forest,0,5.2356020942408374,0.8773812885727243
D_model_only,random_forest,0,0.0,0.9591057402773986
C_unpaired,random_forest,0,15.934065934065933,0.8628638245580565
B_paired,random_forest,0,4.163052905464007,0.9517474681689667
A_bg_only,random_forest,1,7.4171029668411865,0.8840265984825582
D_model_only,random_forest,1,0.8726003490401396,0.9590660463347805
C_unpaired,random_forest,1,1.6725352112676055,0.8796468714040089
B_paired,random_forest,1,5.225225225225225,0.9502588974419587
A_bg_only,xgboost,0,8.09968847352025,0.7735038959054766
D_model_only,xgboost,0,0.9345794392523363,0.927696863202345
C_unpaired,xgboost,0,12.008072653884964,0.7422661424995651
B_paired,xgboost,0,4.8,0.9116255594115862
A_bg_only,xgboost,1,16.926272066458985,0.7804573975724343
D_model_only,xgboost,1,2.596053997923157,0.9294375737523729
C_unpaired,xgboost,1,-2.2748815165876777,0.7868217392414724
B_paired,xgboost,1,3.192584963954686,0.9033041230230547
