rep,level,regime,auc,tss
0,0,floating,0.858238602996385,0.46600755982181685
0,0,fixed,0.858238602996385,0.46600755982181685
0,3,floating,0.730826138586328,0.22394263203050607
0,3,fixed,0.8512708150012036,0.4666939079369685
0,10,floating,0.8449110151936703,0.4482252526430902
0,10,fixed,0.8156457974838975,0.37169199971257383
0,20,floating,0.7654697577711715,0.30273461719606803
0,20,fixed,0.8114426797662174,0.34467629859392734
1,0,floating,0.8516034311937526,0.47268713986273897
1,0,fixed,0.8516034311937526,0.47268713986273897
1,3,floating,0.7878804212328747,0.3014689816450181
1,3,fixed,0.8669003880058643,0.47399596583714326
1,10,floating,0.816739917393203,0.29287724628344225
1,10,fixed,0.8504064776168304,0.407523219729088
1,20,floating,0.8484907684825067,0.42337877176894656
1,20,fixed,0.8350794850911907,0.40050307106064353
2,0,floating,0.8525127515170585,0.4474641698185125
2,0,fixed,0.8525127515170585,0.4474641698185125
2,3,floating,0.8850696096695577,0.4787437565346603
2,3,fixed,0.857120545154937,0.4434167995519438
2,10,floating,0.7561353887058696,0.314489939613926
2,10,fixed,0.8418431891248173,0.46666600722955154
2,20,floating,0.8349152421293017,0.3740895827546825
2,20,fixed,0.8572694712486995,0.44777891623228144
3,0,floating,0.8656837668444316,0.49009061460302006
3,0,fixed,0.8656837668444316,0.49009061460302006
3,3,floating,0.7756310990357873,0.29676618739322147
3,3,fixed,0.8363977193098823,0.4202284595598508
3,10,floating,0.7365843349986921,0.20334969890791
3,10,fixed,0.8389419172186253,0.4120028053852366
3,20,floating,0.7932084230390852,0.24845458288316982
3,20,fixed,0.8308587544553794,0.3845777681699564
4,0,floating,0.868554386995066,0.4569628269843887
4,0,fixed,0.868554386995066,0.4569628269843887
4,3,floating,0.8637499235412516,0.4278384155986116
4,3,fixed,0.851123346226812,0.4804959482168261
4,10,floating,0.7344685106006837,0.2646172416271856
4,10,fixed,0.8481179660242419,0.4544313992909097
4,20,floating,0.8298560860057851,0.3372701223623509
4,20,fixed,0.8276071664898973,0.38005705927586053
5,0,floating,0.8631032371192378,0.4900257784760633
5,0,fixed,0.8631032371192378,0.4900257784760633
5,3,floating,0.8515131359486563,0.40697541098809165
5,3,fixed,0.8527848142195598,0.42739940867892623
5,10,floating,0.7801240260483637,0.39869101116795436
5,10,fixed,0.8616475924186286,0.464298399279026
5,20,floating,0.8048345494939906,0.36889345229255244
5,20,fixed,0.8074249860099625,0.36988254819708044
6,0,floating,0.8669577170613108,0.4703439716886152
6,0,fixed,0.8669577170613108,0.4703439716886152
6,3,floating,0.8411556955794908,0.44284555414278703
6,3,fixed,0.8619057370368888,0.4399477088499154
6,10,floating,0.7764807393503361,0.3032295360516576
6,10,fixed,0.857695513013818,0.4180389975373018
6,20,floating,0.7710100323853736,0.29955684411549616
6,20,fixed,0.8164288710959988,0.38101147129894974
7,0,floating,0.8657418543765143,0.44409411609106453
7,0,fixed,0.8657418543765143,0.44409411609106453
7,3,floating,0.885255450155434,0.427195768925146
7,3,fixed,0.8661744590962043,0.46337966696249006
7,10,floating,0.8571070611602873,0.396134041644119
7,10,fixed,0.8452556459352015,0.4193217739109551
7,20,floating,0.8206671639976484,0.327491796791449
7,20,fixed,0.8397098020475964,0.3863091694559626
8,0,floating,0.8765606722454923,0.49589741878972554
8,0,fixed,0.8765606722454923,0.49589741878972554
8,3,floating,0.7866165682203123,0.2735180111842654
8,3,fixed,0.8441713279737021,0.4250574682781891
8,10,floating,0.7765506410174255,0.35585011486046636
8,10,fixed,0.8348254047619863,0.42920012031646015
8,20,floating,0.8199601452093728,0.3924021830156158
8,20,fixed,0.8463625078915475,0.39682686910061327
9,0,floating,0.8709886214201994,0.5109468468143171
9,0,fixed,0.8709886214201994,0.5109468468143171
9,3,floating,0.8143496497263121,0.293842082817064
9,3,fixed,0.8460772735498038,0.44318393309581394
9,10,floating,0.8186469459146919,0.35378505888151335
9,10,fixed,0.8616406769447419,0.45493663442968213
9,20,floating,0.7000060238090329,0.22256216820194438
9,20,fixed,0.8238403311038749,0.3499187940310323
10,0,floating,0.8417652395102575,0.45484922849248344
10,0,fixed,0.8417652395102575,0.45484922849248344
10,3,floating,0.7954869810273462,0.4307870556076813
10,3,fixed,0.8602403524011489,0.44573591402768775
10,10,floating,0.773468198974602,0.37487694011082184
10,10,fixed,0.8339284371098936,0.4414412029570576
10,20,floating,0.822281222848553,0.321106041532096
10,20,fixed,0.8247495624425116,0.40664397648957207
11,0,floating,0.8650289037424121,0.4650013793294468
11,0,fixed,0.8650289037424121,0.4650013793294468
11,3,floating,0.7612867255035665,0.24852298893166905
11,3,fixed,0.8713248752542926,0.48470579262094643
11,10,floating,0.722218317623198,0.25264820481160816
11,10,fixed,0.833512941905543,0.39929773682076775
11,20,floating,0.8388556035962302,0.36453525961620403
11,20,fixed,0.8271892417231067,0.371664426061823
