rep,level,regime,auc,tss
0,0,floating,0.8585242983321107,0.4714129570389292
0,0,fixed,0.8585242983321107,0.4714129570389292
0,3,floating,0.7350510954383269,0.2530720304050317
0,3,fixed,0.8237680384412759,0.4453671774294715
0,10,floating,0.8352689173440424,0.42634848028160804
0,10,fixed,0.8052414474668643,0.34333824237690247
0,20,floating,0.7587622783523817,0.3386779007121893
0,20,fixed,0.821804837837095,0.3894812784207637
1,0,floating,0.8571277637753415,0.44592124312431275
1,0,fixed,0.8571277637753415,0.44592124312431275
1,3,floating,0.7883813343400795,0.34691538943600203
1,3,fixed,0.8486295347305102,0.4325956637425934
1,10,floating,0.8297598306329397,0.29685117030235214
1,10,fixed,0.8602163433045537,0.419366130709772
1,20,floating,0.8410979946736102,0.40741273270624034
1,20,fixed,0.8366803729311286,0.3922130900145886
2,0,floating,0.8425324533711412,0.43812939464864475
2,0,fixed,0.8425324533711412,0.43812939464864475
2,3,floating,0.8715446426339092,0.45603260459801975
2,3,fixed,0.8665558613467633,0.44057552811899675
2,10,floating,0.7416912609553696,0.3240945689316913
2,10,fixed,0.8242774806691845,0.4458986661272295
2,20,floating,0.835829811154821,0.35784279536457575
2,20,fixed,0.8376797229922648,0.4334040844064463
3,0,floating,0.8503631601805812,0.4457777510733674
3,0,fixed,0.8503631601805812,0.4457777510733674
3,3,floating,0.7490502589455073,0.3080161466473127
3,3,fixed,0.8112505731594016,0.4036711080690273
3,10,floating,0.7332103672616875,0.20053029884748602
3,10,fixed,0.8316893895420803,0.3948928608120027
3,20,floating,0.7855797616958967,0.23553446091364774
3,20,fixed,0.8204855738034006,0.37427837689015503
4,0,floating,0.8487032557711871,0.4284683797171132
4,0,fixed,0.8487032557711871,0.4284683797171132
4,3,floating,0.8643759065831522,0.4253805931966033
4,3,fixed,0.8324861517149771,0.42758151754880364
4,10,floating,0.7036601378706155,0.23449993509633177
4,10,fixed,0.8527429135819007,0.46005641293831745
4,20,floating,0.8239659118280362,0.3879830365589475
4,20,fixed,0.8066919644631121,0.33029718811605496
5,0,floating,0.8705501215010407,0.448185134588719
5,0,fixed,0.8705501215010407,0.448185134588719
5,3,floating,0.8489357823349957,0.37411052392463867
5,3,fixed,0.8526693426010571,0.4483607860920006
5,10,floating,0.7970766789837863,0.3880923449232029
5,10,fixed,0.8602976339792695,0.4329984549232425
5,20,floating,0.8320417331951356,0.3721064168286202
5,20,fixed,0.7981891434855137,0.3640021142985001
6,0,floating,0.8466875949883942,0.4654823077942517
6,0,fixed,0.8466875949883942,0.4654823077942517
6,3,floating,0.8350310125756664,0.4533883905288521
6,3,fixed,0.8540682004733128,0.44116567445904653
6,10,floating,0.7647595548040168,0.2780393459754723
6,10,fixed,0.8478690663353244,0.4199344323149797
6,20,floating,0.7777874737741602,0.26177296892840685
6,20,fixed,0.8198539384815687,0.38801942920348564
7,0,floating,0.8580435243392452,0.4196128284805923
7,0,fixed,0.8580435243392452,0.4196128284805923
7,3,floating,0.8713966178681712,0.43417888253847786
7,3,fixed,0.8563271320157615,0.4317624040037741
7,10,floating,0.817990343981374,0.33294988111212787
7,10,fixed,0.835934104949354,0.3797938436928727
7,20,floating,0.8258329819762256,0.33382980469320794
7,20,fixed,0.8408265835983576,0.39786730668919973
8,0,floating,0.8600139564949973,0.463759642534483
8,0,fixed,0.8600139564949973,0.463759642534483
8,3,floating,0.796953727500096,0.2016165723188613
8,3,fixed,0.8374815008504708,0.3908687330613633
8,10,floating,0.7461558110282354,0.29757568372354487
8,10,fixed,0.8156669672428392,0.40673789145562234
8,20,floating,0.8184908970602416,0.3832844733278233
8,20,fixed,0.8535088714511347,0.44218790985855483
9,0,floating,0.837048053031577,0.4222960345395679
9,0,fixed,0.837048053031577,0.4222960345395679
9,3,floating,0.8214523326631328,0.3162166757694105
9,3,fixed,0.8657193153039364,0.477663219701223
9,10,floating,0.7964656179561862,0.26788588418115683
9,10,fixed,0.8484857867563017,0.4348976160328286
9,20,floating,0.6980274321997516,0.2030723243570777
9,20,fixed,0.8339053316360279,0.3762964293451375
10,0,floating,0.8261930972345215,0.4416494864170476
10,0,fixed,0.8261930972345215,0.4416494864170476
10,3,floating,0.7979563302491561,0.4306134629364669
10,3,fixed,0.8693166340893939,0.4149704076336528
10,10,floating,0.7778791026079166,0.3803492593473234
10,10,fixed,0.8218732881788368,0.4092227142824797
10,20,floating,0.8026744240093165,0.2661799758577063
10,20,fixed,0.8282216519251724,0.3817659820375373
11,0,floating,0.855015327995248,0.4400820656797938
11,0,fixed,0.855015327995248,0.4400820656797938
11,3,floating,0.7552215287034882,0.20884861399835608
11,3,fixed,0.87098842200646,0.4583551585288248
11,10,floating,0.7047341946009772,0.24076388566341694
11,10,fixed,0.8040467492764691,0.3788748805937191
11,20,floating,0.8381408680806052,0.3556336120236604
11,20,fixed,0.8182820724106055,0.373456965560567
