rep,level,regime,auc,tss
0,0,floating,0.9080975390842825,0.6595014209096888
0,0,fixed,0.9080975390842825,0.6595014209096888
0,3,floating,0.9136081044487279,0.6599217871552466
0,3,fixed,0.9038130753290888,0.6521609771281647
0,10,floating,0.9094401320499254,0.681580152695061
0,10,fixed,0.9008122178212826,0.6381711907515407
0,20,floating,0.8961879777583264,0.6357289617776923
0,20,fixed,0.8914003998055033,0.6183468068380045
1,0,floating,0.9088408839968926,0.6543864009519259
1,0,fixed,0.9088408839968926,0.6543864009519259
1,3,floating,0.9125384896956593,0.6846692663510192
1,3,fixed,0.9102994719254822,0.6659007150464431
1,10,floating,0.9023768211768013,0.6613126363393276
1,10,fixed,0.9000290890852355,0.6373044285412878
1,20,floating,0.8964460101271621,0.6473698958048634
1,20,fixed,0.8898613413399723,0.6227639808273618
2,0,floating,0.9070029430833013,0.6636212242592958
2,0,fixed,0.9070029430833013,0.6636212242592958
2,3,floating,0.8978027386535027,0.6402997700065036
2,3,fixed,0.9056120413748456,0.6507597987896891
2,10,floating,0.8963067292920124,0.6490199084640236
2,10,fixed,0.8987432808654596,0.6351297987608373
2,20,floating,0.89732555149946,0.6448182412166477
2,20,fixed,0.8925373121012182,0.6368100677643428
3,0,floating,0.9110651116535207,0.6696482242873206
3,0,fixed,0.9110651116535207,0.6696482242873206
3,3,floating,0.9131209678098081,0.6877665816817728
3,3,fixed,0.9042699870502402,0.6583515551642659
3,10,floating,0.8941819765919664,0.638273402007566
3,10,fixed,0.898158272330486,0.6400325412392226
3,20,floating,0.8952650401182807,0.6420418127864305
3,20,fixed,0.8931712883277726,0.6268791750161671
4,0,floating,0.9071183994686283,0.654225777424228
4,0,fixed,0.9071183994686283,0.654225777424228
4,3,floating,0.902015837415787,0.6537122231191352
4,3,fixed,0.9042655501170909,0.6579833104390846
4,10,floating,0.9128984125456057,0.690809775343193
4,10,fixed,0.9008618531755392,0.640075909812157
4,20,floating,0.9043732508390615,0.6437562768576551
4,20,fixed,0.8918788912881546,0.620937838935112
5,0,floating,0.9114484183611905,0.6695025986100571
5,0,fixed,0.9114484183611905,0.6695025986100571
5,3,floating,0.9051074479433744,0.6689242528081285
5,3,fixed,0.9079717424439899,0.6555671678803036
5,10,floating,0.9023836781270796,0.6515594772345145
5,10,fixed,0.8983375678286023,0.6371009282201392
5,20,floating,0.887801183734466,0.6307138697241921
5,20,fixed,0.8878812846230693,0.6076761872556716
6,0,floating,0.9090722051646061,0.6664171677520268
6,0,fixed,0.9090722051646061,0.6664171677520268
6,3,floating,0.8959574598610149,0.6232295386635148
6,3,fixed,0.9035793278150379,0.6547629556821071
6,10,floating,0.9020983452595525,0.657812112241073
6,10,fixed,0.8984706750023215,0.6392369430209377
6,20,floating,0.8969702568022543,0.6572390191298103
6,20,fixed,0.8855075426815224,0.6192343564581224
7,0,floating,0.9104756818056821,0.6662710868958277
7,0,fixed,0.9104756818056821,0.6662710868958277
7,3,floating,0.9112644655617477,0.6746304264806509
7,3,fixed,0.9065441451740573,0.6621987861439911
7,10,floating,0.9021022956209073,0.6581646070724989
7,10,fixed,0.8985393690975396,0.6419788423433661
7,20,floating,0.9036048374469902,0.6704246460528572
7,20,fixed,0.8851849335289594,0.6186404991763176
8,0,floating,0.9117603260804079,0.6686394634187227
8,0,fixed,0.9117603260804079,0.6686394634187227
8,3,floating,0.9049587775569057,0.6822783935738332
8,3,fixed,0.9056474192574567,0.6507198710615986
8,10,floating,0.9029377660596817,0.6402006084969128
8,10,fixed,0.9033885526425308,0.6564756723606904
8,20,floating,0.9019092116730851,0.6510365964779341
8,20,fixed,0.8904237160006587,0.6081585687881514
9,0,floating,0.90812457241506,0.661479301850924
9,0,fixed,0.90812457241506,0.661479301850924
9,3,floating,0.91043754504362,0.6652817101528665
9,3,fixed,0.9120881908012344,0.6649662329421517
9,10,floating,0.915534674414005,0.6874077844728417
9,10,fixed,0.9004998401797651,0.643187391615509
9,20,floating,0.8910484324309713,0.6339246589509615
9,20,fixed,0.8902967188118165,0.6340905323358896
10,0,floating,0.9096015069209479,0.6642641333359158
10,0,fixed,0.9096015069209479,0.6642641333359158
10,3,floating,0.9120465864875532,0.6773131406362001
10,3,fixed,0.9048987703366471,0.6471112067095968
10,10,floating,0.8978858418409663,0.6518521898389349
10,10,fixed,0.8977131799386189,0.6431015456735039
10,20,floating,0.9028403125322875,0.6579308684228422
10,20,fixed,0.8909416119877592,0.6161899110624585
11,0,floating,0.9090947426564643,0.6588772971899425
11,0,fixed,0.9090947426564643,0.6588772971899425
11,3,floating,0.8954257966321915,0.6444991491542366
11,3,fixed,0.9031200327554396,0.657805393047598
11,10,floating,0.893825469354872,0.6309696492632716
11,10,fixed,0.9009425702283316,0.6424317743022963
11,20,floating,0.8919455935928212,0.6270342534875663
11,20,fixed,0.8905291261744643,0.6231203894265299
