rep,level,regime,auc,tss
0,0,floating,0.9099020835509094,0.6620226411189017
0,0,fixed,0.9099020835509094,0.6620226411189017
0,3,floating,0.9129583065488456,0.6577136198560949
0,3,fixed,0.9035179332202983,0.6446772686875505
0,10,floating,0.9110255456569323,0.6794448176994073
0,10,fixed,0.9011071828026516,0.6339517252270105
0,20,floating,0.8987847404419519,0.6412696677070573
0,20,fixed,0.8854407359306293,0.6010577694352879
1,0,floating,0.9117483735130725,0.6621155518832544
1,0,fixed,0.9117483735130725,0.6621155518832544
1,3,floating,0.9127923405500015,0.6837067834435212
1,3,fixed,0.9128553375462195,0.6625460616069379
1,10,floating,0.9040032626966275,0.6578307265974661
1,10,fixed,0.9021086884162954,0.6327392297986034
1,20,floating,0.8945049616188283,0.6362699480259748
1,20,fixed,0.8905553691404912,0.6170795075431451
2,0,floating,0.9076758981018791,0.6582877926125258
2,0,fixed,0.9076758981018791,0.6582877926125258
2,3,floating,0.8994502955383824,0.6340746676254776
2,3,fixed,0.9063760400670681,0.6443704867977398
2,10,floating,0.8959903432917061,0.6450517076031677
2,10,fixed,0.8957563425811651,0.6294528635674563
2,20,floating,0.8969783717131655,0.6357432267230069
2,20,fixed,0.8965608464000973,0.6282033682692113
3,0,floating,0.9110389946927618,0.6669072926708439
3,0,fixed,0.9110389946927618,0.6669072926708439
3,3,floating,0.9102221311927938,0.6739218331224643
3,3,fixed,0.9048687567177183,0.6524116572629856
3,10,floating,0.8972036886686855,0.6331953322476498
3,10,fixed,0.9001672270587864,0.6292895794935405
3,20,floating,0.8962919621177061,0.6376754680440406
3,20,fixed,0.8956720212557572,0.6236658406989258
4,0,floating,0.9085026335775019,0.6572268771987593
4,0,fixed,0.9085026335775019,0.6572268771987593
4,3,floating,0.8991558553696883,0.6491829936705571
4,3,fixed,0.9054225771106038,0.6479653491417343
4,10,floating,0.9127679465873237,0.6861474621203085
4,10,fixed,0.9025138913155691,0.6342850643223954
4,20,floating,0.9056407010007614,0.641704545847514
4,20,fixed,0.8900525807211856,0.6125877791840842
5,0,floating,0.9104913476870259,0.6683774215011293
5,0,fixed,0.9104913476870259,0.6683774215011293
5,3,floating,0.9022138687338357,0.6574535088015118
5,3,fixed,0.9072977312843674,0.6523361109855524
5,10,floating,0.9027209405297263,0.6516015562543324
5,10,fixed,0.8966592388538437,0.635358338449737
5,20,floating,0.8872584057068222,0.6211427984517272
5,20,fixed,0.8891807366888568,0.5994737832221072
6,0,floating,0.9081972890953903,0.6658839083491098
6,0,fixed,0.9081972890953903,0.6658839083491098
6,3,floating,0.8956990505845728,0.6200183791601663
6,3,fixed,0.9046140248442172,0.6453475825934081
6,10,floating,0.9017136313787649,0.655303893246072
6,10,fixed,0.8998857623551251,0.6272455437261536
6,20,floating,0.8929451807804025,0.6382331850012102
6,20,fixed,0.8842986124032869,0.6050818622443811
7,0,floating,0.9112106310132833,0.6643344506193455
7,0,fixed,0.9112106310132833,0.6643344506193455
7,3,floating,0.9109514920482742,0.6744656841781306
7,3,fixed,0.9077473779519183,0.6557348288565386
7,10,floating,0.903731640648472,0.6570721366193112
7,10,fixed,0.9000632651462469,0.6310414309735602
7,20,floating,0.9053901168962266,0.6714813444146113
7,20,fixed,0.8903595105073302,0.6187220172287725
8,0,floating,0.9139263827993498,0.669260524531088
8,0,fixed,0.9139263827993498,0.669260524531088
8,3,floating,0.9025749555665371,0.6733792915270627
8,3,fixed,0.907996505174357,0.647803995761817
8,10,floating,0.9032179499072939,0.6247405092052294
8,10,fixed,0.9038970210140143,0.6406041176740809
8,20,floating,0.901841799477833,0.6417160277763625
8,20,fixed,0.888342846784596,0.6050806722168074
9,0,floating,0.9115717729031969,0.6647137990117142
9,0,fixed,0.9115717729031969,0.6647137990117142
9,3,floating,0.9090061380901867,0.6574465320854708
9,3,fixed,0.909594818567119,0.6532020282915022
9,10,floating,0.9147784113083144,0.6804002185522661
9,10,fixed,0.9004088934157556,0.6442245181338102
9,20,floating,0.891469175531974,0.632419251120583
9,20,fixed,0.8928143758261833,0.6236098868421874
10,0,floating,0.9097552900053325,0.654468564906647
10,0,fixed,0.9097552900053325,0.654468564906647
10,3,floating,0.9130444824514633,0.6775192496790478
10,3,fixed,0.9062703182035972,0.6469449873102915
10,10,floating,0.8961740951395493,0.6415334753414734
10,10,fixed,0.8965716222764124,0.6313312415899708
10,20,floating,0.9057997291559762,0.6442754118374419
10,20,fixed,0.8898490330656186,0.6108070963577873
11,0,floating,0.9074082562757099,0.6577319976050088
11,0,fixed,0.9074082562757099,0.6577319976050088
11,3,floating,0.894784145543934,0.6446053957058875
11,3,fixed,0.9032046474531155,0.6512311797402907
11,10,floating,0.8979306656227557,0.6130964284811784
11,10,fixed,0.8993599065280083,0.6326333461900701
11,20,floating,0.8955687510012229,0.6213223268198261
11,20,fixed,0.8902386890688273,0.6122028632225617
