entity,axis,level,n_basins,ari_vs_clean,agree_vs_clean,ari_rep_vs_rep,agree_rep_vs_rep
Astacus astacus,snapping,1,172,0.03664494535962,0.3953488372093023,0.2050596744421476,0.5895953757225434
Astacus astacus,snapping,2,170,0.030702390594156127,0.34705882352941175,0.03167362363255582,0.38011695906432746
Astacus astacus,snapping,5,166,0.015869993389949367,0.3493975903614458,0.01807147149665135,0.3392857142857143
Astacus astacus,lowacc,3,169,0.027260996345903624,0.33727810650887574,0.032971843575543135,0.3905325443786982
Astacus astacus,lowacc,10,165,0.053369567437412765,0.43636363636363634,0.01711540247513251,0.3674698795180723
Astacus astacus,lowacc,20,159,0.0177132530283966,0.33962264150943394,0.025403913020002732,0.32075471698113206
Pontastacus leptodactylus (pooled),snapping,1,194,0.10899665771262844,0.4484536082474227,0.2848352623442496,0.6288659793814433
Pontastacus leptodactylus (pooled),snapping,2,194,0.13507623622118137,0.44329896907216493,0.03755057940399592,0.3697916666666667
Pontastacus leptodactylus (pooled),snapping,5,191,0.015725283820291393,0.2879581151832461,0.02453729503166207,0.3155080213903743
Pontastacus leptodactylus (pooled),lowacc,3,192,0.007537096561076117,0.3072916666666667,0.01257333211253016,0.3157894736842105
Pontastacus leptodactylus (pooled),lowacc,10,182,0.00019840122181586267,0.2967032967032967,0.0053210707586432565,0.2914285714285714
Pontastacus leptodactylus (pooled),lowacc,20,178,0.013630819312436782,0.3089887640449438,0.012567220743768657,0.2947976878612717
Austropotamobius torrentium (pooled),snapping,1,39,0.17778036099251807,0.48717948717948717,0.2091030139070888,0.5128205128205128
Austropotamobius torrentium (pooled),snapping,2,39,0.044659086105592424,0.41025641025641024,0.25512126206734165,0.631578947368421
Austropotamobius torrentium (pooled),snapping,5,39,0.11700044620593716,0.46153846153846156,0.1247801779574267,0.5384615384615384
Austropotamobius torrentium (pooled),lowacc,3,38,0.031703239781503106,0.4473684210526316,0.10199060877381812,0.4473684210526316
Austropotamobius torrentium (pooled),lowacc,10,38,-0.01443001443001443,0.3684210526315789,0.021430935204182936,0.43243243243243246
Austropotamobius torrentium (pooled),lowacc,20,36,0.0356154494044038,0.4166666666666667,0.03166935050993022,0.45454545454545453
Austropotamobius fulcisianus (pooled),snapping,1,78,0.13604089170980413,0.5769230769230769,0.13655882614439846,0.5897435897435898
Austropotamobius fulcisianus (pooled),snapping,2,78,0.5047467679421481,0.8076923076923077,0.3110199516166792,0.7051282051282052
Austropotamobius fulcisianus (pooled),snapping,5,78,0.07354837031449159,0.5128205128205128,0.011648710577584499,0.41025641025641024
Austropotamobius fulcisianus (pooled),lowacc,3,78,0.042302109616835316,0.46153846153846156,0.1730032846585305,0.5897435897435898
Austropotamobius fulcisianus (pooled),lowacc,10,77,0.004594391443247478,0.38961038961038963,0.07067329242608612,0.4605263157894737
Austropotamobius fulcisianus (pooled),lowacc,20,75,-0.008116385713196044,0.3333333333333333,-0.0023446658851113715,0.32894736842105265
Procambarus clarkii (native),snapping,1,78,0.3382761816496756,0.6666666666666666,0.22582638245288847,0.5641025641025641
Procambarus clarkii (native),snapping,2,79,0.21711172086484848,0.5822784810126582,0.252888873405971,0.6075949367088608
Procambarus clarkii (native),snapping,5,79,0.012971497541972939,0.31645569620253167,0.01955208653830583,0.3625
Procambarus clarkii (native),lowacc,3,78,0.27415384615384614,0.6153846153846154,0.06259823397149032,0.4050632911392405
Procambarus clarkii (native),lowacc,10,77,0.07880461106267558,0.38961038961038963,0.030372596698433795,0.3684210526315789
Procambarus clarkii (native),lowacc,20,74,-0.014777114345756737,0.28378378378378377,0.03968916627936186,0.38571428571428573
Procambarus clarkii (alien),snapping,1,829,0.13276861406310023,0.4825090470446321,0.03794304605367342,0.3156626506024096
Procambarus clarkii (alien),snapping,2,830,0.01237021013741164,0.25903614457831325,0.0004506528755296309,0.24909310761789602
Procambarus clarkii (alien),snapping,5,819,0.002721441183721692,0.2503052503052503,-0.0021560602413032543,0.22564734895191121
Procambarus clarkii (alien),lowacc,3,825,0.018802271091410194,0.2606060606060606,-0.002064035841867793,0.22344322344322345
Procambarus clarkii (alien),lowacc,10,803,0.005782310367936231,0.24408468244084683,-0.0009570572116057329,0.2296954314720812
Procambarus clarkii (alien),lowacc,20,752,-0.0004530461076417669,0.23670212765957446,-0.0015760663523779557,0.23160762942779292
Pacifastacus leniusculus (alien),snapping,1,200,0.01580537224547291,0.335,0.05423556956294406,0.355
Pacifastacus leniusculus (alien),snapping,2,199,0.024037049367955338,0.34673366834170855,0.04212003232865751,0.413265306122449
Pacifastacus leniusculus (alien),snapping,5,196,0.03204417294203475,0.37244897959183676,0.026682094691498934,0.3686868686868687
