axis,level,algorithm,track,metric,delta,ci_lo,ci_hi,n,entities,tier
lowacc,3,maxent,combined,auc,-0.011381468039240065,-0.02074612122218481,-0.003526375565839595,80,8,full_panel
lowacc,3,maxent,combined,tss,-0.023743042131598398,-0.03722066317862916,-0.0115997800030863,80,8,full_panel
lowacc,3,maxent,combined,brier,0.013140108731194113,0.0029393193629702816,0.02691332706408231,80,8,full_panel
lowacc,3,maxent,combined,sensitivity,-0.006678257955931079,-0.012618794656848576,-0.0010043047322661942,80,8,full_panel
lowacc,3,maxent,combined,specificity,-0.01706478417566732,-0.03189501250455465,-0.004846186798707932,80,8,full_panel
lowacc,3,maxent,combined,omission_rate,0.006678257955931069,0.0010200815943273965,0.012544013936987444,80,8,full_panel
lowacc,3,maxent,combined,importance_spearman,,,,0,8,full_panel
lowacc,3,maxent,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,3,maxent,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,3,maxent,local_only,auc,-0.010262856591594344,-0.01982939070367254,-0.003301013313456258,70,7,full_panel
lowacc,3,maxent,local_only,tss,-0.019695130852041443,-0.03407827926442136,-0.007216264736336076,70,7,full_panel
lowacc,3,maxent,local_only,brier,0.01024415767801087,0.001291352348151462,0.024971196687045016,70,7,full_panel
lowacc,3,maxent,local_only,sensitivity,-0.006838423301147685,-0.014639136496517591,-5.819541221372832e-06,70,7,full_panel
lowacc,3,maxent,local_only,specificity,-0.01285670755089377,-0.028626696118881325,-0.0023508136655406306,70,7,full_panel
lowacc,3,maxent,local_only,omission_rate,0.006838423301147664,-4.278894126533277e-05,0.014842914651885149,70,7,full_panel
lowacc,3,maxent,local_only,importance_spearman,,,,0,7,full_panel
lowacc,3,maxent,local_only,env_centroid_disp,,,,0,7,full_panel
lowacc,3,maxent,local_only,env_dispersion_change,,,,0,7,full_panel
lowacc,3,maxent,upstream_only,auc,-0.009532707247627416,-0.02576108740569055,0.0003510664562444899,80,8,full_panel
lowacc,3,maxent,upstream_only,tss,-0.005059136554434478,-0.01093856878705311,-6.342227306537324e-05,80,8,full_panel
lowacc,3,maxent,upstream_only,brier,0.0014592486515128946,-3.256206212872281e-05,0.0034495862191437562,80,8,full_panel
lowacc,3,maxent,upstream_only,sensitivity,-0.004125765139872544,-0.00955758139421129,0.0006743196413382119,80,8,full_panel
lowacc,3,maxent,upstream_only,specificity,-0.0009333714145619339,-0.004103692978306163,0.0020902436981088067,80,8,full_panel
lowacc,3,maxent,upstream_only,omission_rate,0.00412576513987255,-0.0007765789814969544,0.009490276647340997,80,8,full_panel
lowacc,3,maxent,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,3,maxent,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,3,maxent,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,3,random_forest,combined,auc,-0.008522744812182629,-0.012505656719430398,-0.004696699033647722,240,8,full_panel
lowacc,3,random_forest,combined,tss,-0.01682325726846379,-0.022954848421285406,-0.010761778035353177,240,8,full_panel
lowacc,3,random_forest,combined,brier,0.004312594674539281,0.002192231146612946,0.006790764472453674,240,8,full_panel
lowacc,3,random_forest,combined,sensitivity,-0.00752666180776733,-0.012700809769119503,-0.0029803090654886683,240,8,full_panel
