entity,level,mode,d_str1,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
Astacus astacus,3,plain,1.0787,0.8223,0.4371,3.048,-0.6187,0.0334,0.886
Astacus astacus,3,stratified,0.0,0.8319,0.4493,2.3298,0.4998,0.0305,0.8968
Astacus astacus,10,plain,3.4629,0.785,0.39,9.0604,2.9391,0.0653,0.7847
Astacus astacus,10,stratified,0.0,0.8092,0.4218,8.6965,4.3087,0.0556,0.8144
Astacus astacus,20,plain,7.0522,0.7446,0.3302,21.6913,6.4322,0.1047,0.6893
Astacus astacus,20,stratified,0.0,0.7816,0.3885,15.8542,8.8818,0.0827,0.7385
Austropotamobius fulcisianus (pooled),3,plain,0.0448,0.8506,0.4632,0.757,2.1066,0.0189,0.9314
Austropotamobius fulcisianus (pooled),3,stratified,0.0,0.8506,0.4622,1.6937,1.679,0.0182,0.9338
Austropotamobius fulcisianus (pooled),10,plain,0.7437,0.8362,0.4437,5.2021,6.8485,0.0273,0.9012
Austropotamobius fulcisianus (pooled),10,stratified,0.0,0.8343,0.4426,4.7938,5.8089,0.0268,0.9024
Austropotamobius fulcisianus (pooled),20,plain,0.9588,0.815,0.429,5.714,7.455,0.0377,0.8663
Austropotamobius fulcisianus (pooled),20,stratified,0.0,0.8183,0.4324,5.6067,8.2734,0.0355,0.8735
Austropotamobius torrentium (pooled),3,plain,1.0142,0.834,0.4563,10.0198,4.1589,0.0265,0.8914
Austropotamobius torrentium (pooled),3,stratified,0.0,0.8395,0.4589,9.4186,3.8271,0.0245,0.9
Austropotamobius torrentium (pooled),10,plain,3.7661,0.8179,0.4108,31.9212,15.3319,0.0534,0.7971
Austropotamobius torrentium (pooled),10,stratified,0.0,0.8293,0.4221,29.0478,17.4578,0.0476,0.8146
Austropotamobius torrentium (pooled),20,plain,7.093,0.7961,0.3588,58.8628,25.9213,0.0843,0.7143
Austropotamobius torrentium (pooled),20,stratified,0.0,0.8208,0.3932,48.6032,30.5016,0.0706,0.747
Faxonius limosus (alien),3,plain,1.0426,0.7847,0.4275,2.9971,0.1713,0.0393,0.9168
Faxonius limosus (alien),3,stratified,0.0,0.7911,0.4371,2.5343,1.0041,0.0361,0.9244
Faxonius limosus (alien),10,plain,3.5336,0.7738,0.4089,14.6272,5.234,0.0689,0.8546
Faxonius limosus (alien),10,stratified,0.0,0.7836,0.4232,6.4234,2.5942,0.0561,0.8804
Faxonius limosus (alien),20,plain,7.0375,0.7618,0.3932,22.3349,15.3938,0.0954,0.8012
Faxonius limosus (alien),20,stratified,0.0,0.7796,0.4144,7.8673,2.4073,0.0769,0.8376
Pacifastacus leniusculus (alien),3,plain,1.0821,0.8742,0.6019,4.8818,1.6788,0.0295,0.8994
Pacifastacus leniusculus (alien),3,stratified,0.0,0.8767,0.6047,3.3468,2.0579,0.0269,0.9094
Pacifastacus leniusculus (alien),10,plain,3.9335,0.8484,0.5442,19.304,10.0172,0.0523,0.8217
Pacifastacus leniusculus (alien),10,stratified,0.0,0.8563,0.5591,9.9181,5.4106,0.0435,0.8509
Pacifastacus leniusculus (alien),20,plain,7.6624,0.8177,0.4835,35.3257,22.0629,0.0756,0.7574
Pacifastacus leniusculus (alien),20,stratified,0.0,0.8426,0.5364,12.3178,4.3497,0.0557,0.8115
Pontastacus leptodactylus (pooled),3,plain,0.2718,0.782,0.4297,-0.4145,-1.7712,0.0336,0.9237
Pontastacus leptodactylus (pooled),3,stratified,0.0,0.7829,0.4307,0.1371,-1.3644,0.0337,0.9235
Pontastacus leptodactylus (pooled),10,plain,1.3414,0.7733,0.4169,0.0608,-4.4547,0.0455,0.897
Pontastacus leptodactylus (pooled),10,stratified,0.0,0.7754,0.4178,-0.1241,-4.6476,0.0433,0.902
Pontastacus leptodactylus (pooled),20,plain,2.861,0.7613,0.3924,-1.3484,-11.283,0.0606,0.8639
Pontastacus leptodactylus (pooled),20,stratified,0.0,0.7616,0.3951,-2.3371,-10.8605,0.0576,0.87
Procambarus clarkii (alien),3,plain,0.217,0.9135,0.6784,3.265,3.5544,0.0203,0.9345
Procambarus clarkii (alien),3,stratified,0.0,0.9135,0.679,2.6941,3.1835,0.0204,0.9341
Procambarus clarkii (alien),10,plain,0.8637,0.9067,0.6644,9.2194,11.3286,0.027,0.9131
Procambarus clarkii (alien),10,stratified,0.0,0.9071,0.6651,8.901,10.2907,0.0269,0.9133
Procambarus clarkii (alien),20,plain,1.7577,0.8994,0.6512,15.7007,21.0038,0.0355,0.8866
Procambarus clarkii (alien),20,stratified,0.0,0.8985,0.6482,14.9028,18.6733,0.0352,0.8872
Procambarus clarkii (native),3,plain,0.2994,0.8776,0.5462,-0.2676,0.2948,0.0114,0.9379
Procambarus clarkii (native),3,stratified,0.0,0.8777,0.5483,-0.3467,0.3677,0.0113,0.938
Procambarus clarkii (native),10,plain,0.188,0.8764,0.5386,-1.3615,1.6122,0.0139,0.9227
Procambarus clarkii (native),10,stratified,0.0,0.8757,0.5405,-1.1377,2.5912,0.0142,0.9216
Procambarus clarkii (native),20,plain,0.7206,0.8685,0.5231,-2.6661,2.6928,0.0177,0.9004
Procambarus clarkii (native),20,stratified,0.0,0.8683,0.5198,-2.2537,3.0125,0.0176,0.9014
