rep,level,mode,d_str1,n,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d,entity,algorithm
0,3,plain,1.020408163265305,2058,0.8359110940581742,0.4541258679090717,1.876513317191284,0.2989536621823617,0.0289991658000928,0.91831450439745,Astacus astacus,random_forest
0,3,stratified,0.0,2058,0.8441614499829948,0.4676041423904524,0.9079903147699756,0.3978779840848806,0.0263955387254934,0.9266300718824484,Astacus astacus,random_forest
0,10,plain,3.2555879494655,2058,0.8013609186978718,0.4019087953136692,11.501210653753027,11.568938193343898,0.0621124775181326,0.8326097752248302,Astacus astacus,random_forest
0,10,stratified,0.0,2058,0.8248547800565764,0.4439253246675573,9.86682808716707,11.366906474820144,0.0532618048606614,0.8542922306526954,Astacus astacus,random_forest
0,20,plain,7.24003887269193,2058,0.7388261569689606,0.340847864802134,14.164648910411625,6.65024630541872,0.0971397003071704,0.7600436694622427,Astacus astacus,random_forest
0,20,stratified,0.0,2058,0.7942598960655897,0.4179644122806465,10.714285714285714,8.520179372197308,0.0760343219904818,0.8007736071621886,Astacus astacus,random_forest
1,3,plain,0.7288629737609327,2058,0.8333286081602926,0.4562909305427559,1.0526315789473684,-3.698979591836735,0.0288389732027041,0.9186288612321244,Astacus astacus,random_forest
1,3,stratified,0.0,2058,0.8372856840602932,0.4726821302165138,2.848297213622291,2.33837689133425,0.0269360089208049,0.9253779769912268,Astacus astacus,random_forest
1,10,plain,3.984450923226433,2058,0.7857360948486519,0.3943193169673479,0.9907120743034056,1.1004126547455295,0.0598621787310188,0.8337749180194101,Astacus astacus,random_forest
1,10,stratified,0.0,2058,0.8212688374874315,0.4463947807451534,7.863777089783282,5.166475315729048,0.0490704784963849,0.8649963339953339,Astacus astacus,random_forest
1,20,plain,7.434402332361515,2058,0.7562735610664378,0.3429340404546858,9.226006191950464,7.290233837689134,0.1029057456022742,0.7471029221753568,Astacus astacus,random_forest
1,20,stratified,0.0,2058,0.796005339200007,0.4325423088219476,13.498452012383902,18.55807743658211,0.0757949599741008,0.8009000808350926,Astacus astacus,random_forest
2,3,plain,1.0689990281827022,2058,0.8376414903089221,0.4616788978478527,3.0340557275541795,0.1262626262626262,0.0289786486026906,0.9173304073447258,Astacus astacus,random_forest
2,3,stratified,0.0,2058,0.8396166495569966,0.4704595029861467,3.281733746130031,-0.4329004329004329,0.0292107058924838,0.9172373296600324,Astacus astacus,random_forest
2,10,plain,3.7414965986394577,2058,0.7990115699933463,0.3959462107161729,8.854489164086687,5.500705218617771,0.0615433916737171,0.8301470785400396,Astacus astacus,random_forest
2,10,stratified,0.0,2058,0.8190749745830237,0.4309928966202251,8.544891640866874,6.786703601108034,0.0510870797662103,0.8590857250383872,Astacus astacus,random_forest
2,20,plain,6.89990281827016,2058,0.7504698913663705,0.3293139216080535,16.96594427244582,5.465116279069767,0.0995592998281914,0.7560326125453036,Astacus astacus,random_forest
2,20,stratified,0.0,2058,0.7802452692018995,0.391007615226554,11.578947368421051,8.202653799758746,0.0806501836254514,0.7888660645203518,Astacus astacus,random_forest
3,3,plain,1.0689990281827022,2058,0.8299660308327312,0.4440095393209972,0.7033248081841432,0.0,0.0315789944146866,0.9115257174146588,Astacus astacus,random_forest
3,3,stratified,0.0,2058,0.8383708190010006,0.4516774433002636,1.0230179028132993,0.2663115845539281,0.0277522251326021,0.922312304762737,Astacus astacus,random_forest
3,10,plain,2.0894071914480072,2058,0.8159160397624825,0.418545296608955,6.138107416879795,7.275541795665634,0.0576556122916135,0.8455168187736055,Astacus astacus,random_forest
3,10,stratified,0.0,2058,0.8098338126658748,0.4249051156786314,10.0383631713555,5.874316939890711,0.0510182873231698,0.8608585174539284,Astacus astacus,random_forest
3,20,plain,6.656948493683188,2058,0.753478157275975,0.3253393232126634,19.30946291560102,12.643678160919542,0.0990917498062224,0.7634922604117551,Astacus astacus,random_forest
3,20,stratified,0.0,2058,0.7942624470418659,0.4011477242367029,18.542199488491047,14.927184466019416,0.0750382741863273,0.8083259321029486,Astacus astacus,random_forest
4,3,plain,0.8260447035957235,2058,0.8378590213501895,0.4597340062942608,2.258852258852259,0.9615384615384616,0.0294403440243469,0.9177384989179844,Astacus astacus,random_forest
4,3,stratified,0.0,2058,0.8454722922419201,0.4905345882472701,0.3052503052503053,1.9635343618513323,0.0243015547641938,0.9329859342874764,Astacus astacus,random_forest
4,10,plain,3.644314868804664,2058,0.81364874583671,0.4280070938173135,7.875457875457875,4.755944931163955,0.0553313853408414,0.8492730708240812,Astacus astacus,random_forest
4,10,stratified,0.0,2058,0.8183167662705655,0.4582938663502883,9.951159951159951,11.794871794871794,0.0505939827077651,0.8631259538270709,Astacus astacus,random_forest
4,20,plain,7.482993197278912,2058,0.7486477146498581,0.3433296851922513,24.725274725274726,11.15485564304462,0.098809732391706,0.760444676377865,Astacus astacus,random_forest
4,20,stratified,0.0,2058,0.7946314457050847,0.4109681140111501,16.42246642246642,16.423357664233578,0.0755528566018059,0.8026333318025161,Astacus astacus,random_forest
5,3,plain,0.7774538386783263,2058,0.8225704713871497,0.4432820567354213,1.801200800533689,2.112676056338028,0.029493018794296,0.9149677631232004,Astacus astacus,random_forest
5,3,stratified,0.0,2058,0.8346848512725064,0.4793881767720012,3.268845897264843,2.5815217391304346,0.0251047056592174,0.9281498111453568,Astacus astacus,random_forest
5,10,plain,4.178814382896015,2058,0.7899706820978039,0.4140078841008387,6.937958639092728,4.05616224648986,0.0590575538529288,0.8330112832550726,Astacus astacus,random_forest
5,10,stratified,0.0,2058,0.8190731512874201,0.4406110575003771,8.20547031354236,12.438625204582651,0.0486973629649052,0.8612408849476584,Astacus astacus,random_forest
5,20,plain,6.316812439261419,2058,0.7617079408588444,0.3708927769935451,16.811207471647766,14.078947368421051,0.0934721831743772,0.7578250437717512,Astacus astacus,random_forest
5,20,stratified,0.0,2058,0.7871254332681324,0.4064293357061725,13.54236157438292,16.224188790560472,0.077188896945201,0.792073050217215,Astacus astacus,random_forest
6,3,plain,1.554907677356656,2058,0.8357629104104128,0.4715551746888486,2.652005174644243,2.9275808936825887,0.0285587693998077,0.918098961631064,Astacus astacus,random_forest
6,3,stratified,0.0,2058,0.8456126515121641,0.498397770884781,2.1992238033635187,2.6049204052098407,0.0285318047298578,0.919052683616009,Astacus astacus,random_forest
6,10,plain,2.721088435374149,2058,0.7979449379099454,0.4335679121032413,6.985769728331177,9.887005649717514,0.0634515234803347,0.8241258526918867,Astacus astacus,random_forest
6,10,stratified,0.0,2058,0.8189458404540189,0.4410924546434321,4.010349288486417,10.733695652173914,0.0529587198579473,0.8514820128567668,Astacus astacus,random_forest
6,20,plain,6.948493683187557,2058,0.7438550060114836,0.3497326400030868,18.88745148771022,20.49306625577812,0.1010621585753744,0.7495728878366831,Astacus astacus,random_forest
6,20,stratified,0.0,2058,0.8041809639419384,0.415836840088835,14.036222509702458,14.709677419354838,0.0742706551406901,0.8018124134302986,Astacus astacus,random_forest
7,3,plain,0.8260447035957235,2058,0.8331918743129408,0.4415290277893443,2.927478376580173,0.1410437235543018,0.0294869823720359,0.915375200023955,Astacus astacus,random_forest
7,3,stratified,0.0,2058,0.8355199628109292,0.4430667225604868,1.1976047904191618,1.7195767195767195,0.027250570903177,0.9212831649671416,Astacus astacus,random_forest
7,10,plain,3.644314868804664,2058,0.799855703950613,0.3962551453037682,5.52228875582169,6.952662721893491,0.0599599747004052,0.8301686749032975,Astacus astacus,random_forest
7,10,stratified,0.0,2058,0.823325387252245,0.4317546056487586,0.2661343978709248,5.276381909547738,0.0516201999986919,0.8541840802459464,Astacus astacus,random_forest
7,20,plain,6.802721088435373,2058,0.757528419238499,0.3201101934886525,11.510312707917498,9.851551956815117,0.0999188556342862,0.7493469161642956,Astacus astacus,random_forest
7,20,stratified,0.0,2058,0.7974479072030286,0.4097972172882259,9.780439121756489,14.250614250614252,0.0800089324682855,0.7840026708583928,Astacus astacus,random_forest
8,3,plain,1.3119533527696774,2058,0.8213913861111697,0.4360385174653769,2.152641878669276,0.9655172413793104,0.0326044760989136,0.9054711610926838,Astacus astacus,random_forest
8,3,stratified,0.0,2058,0.8358525246182535,0.4570375797285738,4.240052185257665,1.6646848989298455,0.0265202529741466,0.9254244360872028,Astacus astacus,random_forest
8,10,plain,3.838678328474245,2058,0.783582166359281,0.3704744095906245,9.523809523809524,4.9237983587338805,0.0655860214016477,0.8206450385779291,Astacus astacus,random_forest
8,10,stratified,0.0,2058,0.8108373531892645,0.4254699224955051,10.95890410958904,11.715481171548117,0.0528422568435547,0.8550675657484141,Astacus astacus,random_forest
8,20,plain,7.19144800777454,2058,0.7521661733063352,0.3481704066928957,16.43835616438356,0.8433734939759037,0.102125859216094,0.7443165578243365,Astacus astacus,random_forest
8,20,stratified,0.0,2058,0.7899170591682582,0.4131771312265472,16.43835616438356,17.955112219451372,0.0744634175054447,0.8029986392884605,Astacus astacus,random_forest
9,3,plain,1.020408163265305,2058,0.8485290747723692,0.4865212413843697,1.603592046183451,0.625,0.0286493783559296,0.9179853670269272,Astacus astacus,random_forest
9,3,stratified,0.0,2058,0.8535491432930958,0.4922520119863496,3.27132777421424,2.727272727272727,0.0273761531971667,0.9227272994109074,Astacus astacus,random_forest
