frac,dist_m,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d,eff_dose
10,100,0.8232,0.4517,-4.1025,-5.5359,0.0226,0.9348,0.9906
10,250,0.823,0.4513,-4.2339,-5.6006,0.0225,0.935,1.3111
10,500,0.8229,0.451,-4.1658,-5.5318,0.0227,0.9344,1.841
10,1000,0.8228,0.4521,-4.0808,-5.4825,0.023,0.9334,2.659
10,2000,0.823,0.4511,-4.18,-5.4129,0.0235,0.9319,4.1892
20,100,0.8217,0.4539,-8.7337,-11.0043,0.0264,0.9229,1.9653
20,250,0.8218,0.4518,-8.5897,-10.9425,0.0266,0.9222,2.6511
20,500,0.8218,0.4533,-8.5084,-10.764,0.0269,0.9212,3.6658
20,1000,0.8225,0.4539,-8.7881,-10.9349,0.0274,0.92,5.3218
20,2000,0.8229,0.454,-8.7938,-10.7618,0.0281,0.9176,8.327
50,100,0.819,0.4534,-24.925,-32.0424,0.0439,0.8753,5.1428
50,250,0.8188,0.453,-24.9255,-31.9719,0.0442,0.8742,6.6574
50,500,0.8194,0.4553,-25.0776,-31.7334,0.0446,0.873,9.0412
50,1000,0.8198,0.4546,-25.3991,-31.9979,0.0453,0.8709,13.5291
50,2000,0.8228,0.4578,-25.9564,-32.2383,0.0465,0.8676,20.876
