frac,dist_m,range_area_pct_change_05|iqr,range_area_pct_change_05|mean,range_area_pct_change_05|med,range_area_pct_change_maxsss|iqr,range_area_pct_change_maxsss|mean,range_area_pct_change_maxsss|med,schoener_d|iqr,schoener_d|mean,schoener_d|med
10,100,2.971,-4.102,-4.023,3.476,-5.536,-5.463,0.038,0.935,0.94
10,250,2.638,-4.234,-4.223,3.517,-5.601,-5.41,0.039,0.935,0.94
10,500,2.615,-4.166,-4.065,3.925,-5.532,-5.536,0.039,0.934,0.939
10,1000,3.117,-4.081,-3.879,3.766,-5.483,-5.332,0.038,0.933,0.938
10,2000,2.932,-4.18,-4.203,4.109,-5.413,-5.327,0.039,0.932,0.936
20,100,4.783,-8.734,-8.499,5.709,-11.004,-10.871,0.045,0.923,0.926
20,250,4.616,-8.59,-8.429,5.279,-10.943,-10.417,0.045,0.922,0.925
20,500,4.845,-8.508,-8.498,6.192,-10.764,-10.518,0.044,0.921,0.922
20,1000,5.094,-8.788,-8.539,6.196,-10.935,-10.502,0.044,0.92,0.922
20,2000,4.971,-8.794,-8.775,5.962,-10.762,-10.411,0.042,0.918,0.921
50,100,9.526,-24.925,-24.591,12.559,-32.042,-30.549,0.08,0.875,0.88
50,250,10.367,-24.925,-24.629,12.431,-31.972,-30.9,0.08,0.874,0.879
50,500,10.477,-25.078,-24.902,11.968,-31.733,-30.478,0.078,0.873,0.879
50,1000,10.24,-25.399,-25.16,11.634,-31.998,-30.225,0.079,0.871,0.875
50,2000,10.627,-25.956,-25.413,12.372,-32.238,-30.484,0.083,0.868,0.875
