axis,level,algorithm,importance_spearman,importance_jaccard_top5,importance_jaccard_top10,env_centroid_disp,env_dispersion_change,domain_rank_stability
lowacc,3,maxent,,1.0,1.0,0.0762,0.0046,
lowacc,3,random_forest,0.9879,0.7944,0.8702,0.0733,0.0048,1.0
lowacc,3,xgboost,0.7293,0.6327,0.6318,0.0733,0.0048,0.9967
lowacc,10,maxent,,1.0,1.0,0.2254,0.0139,
lowacc,10,random_forest,0.9767,0.746,0.8318,0.2224,0.0124,1.0
lowacc,10,xgboost,0.7119,0.5056,0.5762,0.2224,0.0124,0.9933
lowacc,20,maxent,,1.0,1.0,0.4601,0.0235,
lowacc,20,random_forest,0.962,0.7151,0.7498,0.4516,0.0259,1.0
lowacc,20,xgboost,0.6835,0.4565,0.4894,0.4516,0.0259,0.9833
snapping,1,maxent,,1.0,1.0,0.0323,-0.0001,
snapping,1,random_forest,0.9885,0.7762,0.8364,0.0306,0.0002,1.0
snapping,1,xgboost,0.7132,0.6321,0.6051,0.0306,0.0002,1.0
snapping,2,maxent,,1.0,1.0,0.0535,0.0005,
snapping,2,random_forest,0.9883,0.7698,0.8505,0.0593,0.0004,1.0
snapping,2,xgboost,0.7257,0.6278,0.6203,0.0593,0.0004,0.9933
snapping,5,maxent,,1.0,1.0,0.0999,0.0008,
snapping,5,random_forest,0.9886,0.7889,0.8525,0.1142,0.0006,1.0
snapping,5,xgboost,0.707,0.6369,0.6142,0.1142,0.0006,0.9933
snapping,10,maxent,,1.0,1.0,0.2305,0.0047,
snapping,10,random_forest,0.9887,0.7667,0.8475,0.2304,0.0063,1.0
snapping,10,xgboost,0.72,0.6556,0.6465,0.2304,0.0063,0.9933
