entity,bench_str1_pct,acc_str1_pct,depletion_pp,depletion_ratio,maxent,random_forest,xgboost
Astacus astacus,23.62,42.38,18.77,0.557,51.66,38.85,49.48
Pontastacus leptodactylus (pooled),37.23,38.95,1.71,0.956,13.72,13.17,15.42
Austropotamobius torrentium (pooled),22.87,43.81,20.94,0.522,54.63,73.63,86.15
Austropotamobius fulcisianus (pooled),47.72,43.37,-4.34,1.1,23.28,19.8,11.86
Procambarus clarkii (native),39.37,29.51,-9.86,1.334,5.42,4.9,4.29
Procambarus clarkii (alien),37.01,34.78,-2.23,1.064,10.46,23.92,24.53
Pacifastacus leniusculus (alien),22.8,34.96,12.16,0.652,30.62,49.85,48.96
Faxonius limosus (alien),26.76,42.21,15.44,0.634,25.57,36.42,35.2
Lacunicambarus diogenes,31.87,29.7,-2.17,1.073,,,
Cambarus latimanus,28.37,29.34,0.97,0.967,,,
Cambarus striatus,39.09,29.3,-9.79,1.334,,,
Creaserinus fodiens,51.93,29.36,-22.57,1.768,,,
Faxonius limosus (native),27.0,26.3,-0.7,1.026,,,
