entity,axis,level,median,q25,q75,n,IQR
Astacus astacus,lowacc,3,4.13,2.65,5.48,210,2.83
Astacus astacus,lowacc,10,15.14,10.61,18.71,210,8.1
Astacus astacus,lowacc,20,38.98,26.04,49.31,210,23.27
Astacus astacus,snapping,1,-0.31,-1.22,0.54,210,1.76
Astacus astacus,snapping,2,-0.18,-1.18,0.62,210,1.8
Astacus astacus,snapping,5,-0.54,-1.82,0.46,210,2.28
Austropotamobius fulcisianus (pooled),lowacc,3,2.17,0.0,4.44,210,4.44
Austropotamobius fulcisianus (pooled),lowacc,10,8.27,0.0,11.91,210,11.91
Austropotamobius fulcisianus (pooled),lowacc,20,12.67,0.0,19.01,210,19.01
Austropotamobius fulcisianus (pooled),snapping,1,0.0,-0.95,0.73,210,1.68
Austropotamobius fulcisianus (pooled),snapping,2,0.0,-0.78,0.53,210,1.31
Austropotamobius fulcisianus (pooled),snapping,5,0.0,-1.27,0.75,210,2.02
Austropotamobius fulcisianus (pooled),snapping,10,0.0,-1.83,1.32,210,3.15
Austropotamobius torrentium (pooled),lowacc,3,9.64,6.75,12.45,210,5.7
Austropotamobius torrentium (pooled),lowacc,10,32.76,23.47,39.02,210,15.55
Austropotamobius torrentium (pooled),lowacc,20,64.84,44.03,79.86,210,35.83
Austropotamobius torrentium (pooled),snapping,1,0.54,-0.89,1.86,210,2.75
Austropotamobius torrentium (pooled),snapping,2,0.76,-0.47,2.13,210,2.6
Austropotamobius torrentium (pooled),snapping,5,2.17,0.52,3.72,210,3.2
Cambarus latimanus,snapping,1,0.01,-0.61,0.67,210,1.28
Cambarus latimanus,snapping,2,0.19,-0.34,0.96,210,1.3
Cambarus latimanus,snapping,5,0.5,-0.37,1.79,210,2.16
Cambarus striatus,snapping,1,0.0,-0.05,0.76,210,0.81
Cambarus striatus,snapping,2,0.0,0.0,0.83,210,0.83
Cambarus striatus,snapping,5,0.06,0.0,1.29,210,1.29
Creaserinus fodiens,snapping,1,0.0,-0.63,0.48,210,1.11
Creaserinus fodiens,snapping,2,0.0,-0.75,0.4,210,1.15
Creaserinus fodiens,snapping,5,0.0,-0.99,0.26,210,1.25
Creaserinus fodiens,snapping,10,-0.38,-1.96,0.17,210,2.13
Faxonius limosus (alien),lowacc,3,3.97,2.74,5.2,210,2.46
Faxonius limosus (alien),lowacc,10,17.19,9.31,20.42,210,11.11
Faxonius limosus (alien),lowacc,20,31.76,14.43,35.49,210,21.06
Faxonius limosus (alien),snapping,1,0.2,-0.6,0.85,210,1.45
Faxonius limosus (alien),snapping,2,0.47,-0.22,1.12,210,1.34
Faxonius limosus (alien),snapping,5,0.87,0.03,1.69,210,1.66
Faxonius limosus (native),snapping,1,0.18,-0.75,1.18,210,1.93
Faxonius limosus (native),snapping,2,0.21,-0.6,1.34,210,1.94
Faxonius limosus (native),snapping,5,0.73,-0.26,2.52,210,2.78
Lacunicambarus diogenes,snapping,1,0.0,-0.21,0.96,210,1.17
Lacunicambarus diogenes,snapping,2,0.35,-0.14,1.4,210,1.54
Lacunicambarus diogenes,snapping,5,0.96,0.0,2.42,210,2.42
Pacifastacus leniusculus (alien),lowacc,3,5.44,3.49,6.98,200,3.49
Pacifastacus leniusculus (alien),lowacc,10,23.74,11.7,26.32,200,14.62
Pacifastacus leniusculus (alien),lowacc,20,45.34,21.11,48.59,200,27.48
Pacifastacus leniusculus (alien),snapping,1,-0.01,-0.55,0.62,210,1.17
Pacifastacus leniusculus (alien),snapping,2,-0.08,-0.7,0.42,210,1.12
Pacifastacus leniusculus (alien),snapping,5,-0.38,-1.2,0.3,210,1.5
Pontastacus leptodactylus (pooled),lowacc,3,1.14,0.0,2.49,210,2.49
Pontastacus leptodactylus (pooled),lowacc,10,5.58,0.5,8.05,210,7.55
Pontastacus leptodactylus (pooled),lowacc,20,14.2,10.95,18.33,210,7.38
Pontastacus leptodactylus (pooled),snapping,1,0.0,-0.93,0.08,210,1.01
Pontastacus leptodactylus (pooled),snapping,2,-0.02,-1.34,0.0,210,1.34
Pontastacus leptodactylus (pooled),snapping,5,-0.76,-2.0,0.0,210,2.0
Pontastacus leptodactylus (pooled),snapping,10,-1.08,-2.85,0.0,210,2.85
Procambarus clarkii (alien),lowacc,3,3.4,0.0,4.39,210,4.39
Procambarus clarkii (alien),lowacc,10,12.6,0.0,14.12,210,14.12
Procambarus clarkii (alien),lowacc,20,23.3,1.91,25.42,210,23.51
Procambarus clarkii (alien),snapping,1,0.0,-0.01,0.49,210,0.5
Procambarus clarkii (alien),snapping,2,0.1,0.0,0.97,210,0.97
Procambarus clarkii (alien),snapping,5,0.75,0.0,1.8,210,1.8
Procambarus clarkii (alien),snapping,10,2.03,-0.02,3.23,210,3.25
Procambarus clarkii (native),lowacc,3,0.0,0.0,1.18,210,1.18
Procambarus clarkii (native),lowacc,10,2.25,0.0,3.75,210,3.75
Procambarus clarkii (native),lowacc,20,3.5,0.0,5.68,210,5.68
Procambarus clarkii (native),snapping,1,0.0,0.0,0.95,210,0.95
Procambarus clarkii (native),snapping,2,0.0,0.0,1.32,210,1.32
Procambarus clarkii (native),snapping,5,0.63,0.0,2.36,210,2.36
Procambarus clarkii (native),snapping,10,2.07,0.0,3.93,210,3.93
