arm,alg,rep,range_pct,schoener
A_bg_only,maxent,0,-1.883408071748879,0.6951671852664841
D_model_only,maxent,0,0.6505576208178439,0.991847535040291
C_unpaired,maxent,0,55.700934579439256,0.5259051292990897
B_paired,maxent,0,53.32050048123196,0.5838862558767417
A_bg_only,maxent,1,0.2803738317757009,0.7026386855732226
D_model_only,maxent,1,0.5597014925373134,0.9904449554318946
C_unpaired,maxent,1,52.460538532961934,0.5242554729775221
B_paired,maxent,1,54.51263537906137,0.5894374333002718
A_bg_only,maxent,2,2.02391904323827,0.7064110411154958
D_model_only,maxent,2,0.09293680297397769,0.9923191815942805
C_unpaired,maxent,2,57.12918660287082,0.5146989555768354
B_paired,maxent,2,57.28876508820798,0.580291408924926
A_bg_only,maxent,3,1.8484288354898337,0.6955082059117474
D_model_only,maxent,3,0.7469654528478058,0.9910103608194196
C_unpaired,maxent,3,54.197761194029844,0.5250961417809328
B_paired,maxent,3,53.83194829178208,0.5849245394925665
A_bg_only,maxent,4,0.0931098696461825,0.7055316452886038
D_model_only,maxent,4,-0.18570102135561745,0.9904911792837275
C_unpaired,maxent,4,58.78442545109211,0.5217735868004267
B_paired,maxent,4,54.31861804222648,0.5784794507057824
A_bg_only,maxent,5,7.326355851569934,0.6983786477749497
D_model_only,maxent,5,0.3731343283582089,0.99160787735978
C_unpaired,maxent,5,44.50354609929078,0.5289528295515948
B_paired,maxent,5,57.77153558052434,0.579303736685285
A_bg_only,maxent,6,-0.4699248120300752,0.6917337632686252
D_model_only,maxent,6,0.18570102135561745,0.9913557729073639
C_unpaired,maxent,6,48.03370786516854,0.5273243600030247
B_paired,maxent,6,46.46739130434783,0.5845953627667346
A_bg_only,maxent,7,1.7608897126969416,0.6885101861246866
D_model_only,maxent,7,0.46641791044776115,0.9896696738868532
C_unpaired,maxent,7,56.98324022346368,0.5217100363686753
B_paired,maxent,7,61.25116713352008,0.577193345002086
A_bg_only,maxent,8,-1.9319227230910765,0.6999970581168796
D_model_only,maxent,8,0.6554307116104869,0.9912507538177209
C_unpaired,maxent,8,53.84615384615385,0.519248587990621
B_paired,maxent,8,56.368821292775664,0.5821421023322011
A_bg_only,maxent,9,-3.8077969174977335,0.6979889441768814
D_model_only,maxent,9,-0.3727865796831314,0.9918603607797083
C_unpaired,maxent,9,49.955156950672645,0.5204627443306451
B_paired,maxent,9,56.17566331198536,0.58787659082641
A_bg_only,maxent,10,0.8555133079847909,0.6956502972074339
D_model_only,maxent,10,-0.09267840593141798,0.9903181050330127
C_unpaired,maxent,10,49.584487534626035,0.5256609278975077
B_paired,maxent,10,53.61663652802894,0.5919764323528033
A_bg_only,maxent,11,-0.8226691042047531,0.712668539096615
D_model_only,maxent,11,-0.4642525533890436,0.9920538962252332
C_unpaired,maxent,11,54.41729323308271,0.5197459479737534
B_paired,maxent,11,49.544626593806925,0.5825030596850054
A_bg_only,maxent,12,0.946969696969697,0.7135071793481524
D_model_only,maxent,12,-0.3707136237256719,0.9908401035911341
C_unpaired,maxent,12,57.28971962616822,0.5160101979299601
B_paired,maxent,12,56.81818181818182,0.5755922168162673
A_bg_only,maxent,13,-2.3985239852398523,0.7026951286518492
D_model_only,maxent,13,0.18604651162790697,0.9914458524983323
C_unpaired,maxent,13,57.35567970204841,0.5214186795599066
B_paired,maxent,13,52.66055045871559,0.585018472740698
A_bg_only,maxent,14,6.267806267806268,0.7012860681164086
D_model_only,maxent,14,0.5607476635514018,0.9912297600961432
C_unpaired,maxent,14,51.80388529139685,0.5270641524205902
B_paired,maxent,14,52.24719101123596,0.5866833779635516
