arm,alg,rep,range_pct,schoener
A_bg_only,random_forest,0,-11.504424778761061,0.8538491729212613
D_model_only,random_forest,0,0.7883565797453002,0.9606913968213533
C_unpaired,random_forest,0,38.62605314322748,0.7026776474215957
B_paired,random_forest,0,34.69387755102041,0.7507776279112415
A_bg_only,random_forest,1,-4.646721833227244,0.8513422045492688
D_model_only,random_forest,1,-1.2665862484921593,0.960407682516974
C_unpaired,random_forest,1,47.651847213525365,0.7126886442540072
B_paired,random_forest,1,44.321868916288125,0.7496791271005029
A_bg_only,random_forest,2,0.548780487804878,0.8531318533173432
D_model_only,random_forest,2,-0.7756563245823389,0.9609628340863372
C_unpaired,random_forest,2,31.12540192926045,0.7106714707614663
B_paired,random_forest,2,36.32398753894081,0.7534991643862633
A_bg_only,random_forest,3,-0.06313131313131314,0.8502151599589446
D_model_only,random_forest,3,0.0,0.9609277487706438
C_unpaired,random_forest,3,40.94856379425518,0.7011191430379067
B_paired,random_forest,3,34.33889602053915,0.7511301952611767
A_bg_only,random_forest,4,-4.242046163443543,0.847433632264462
D_model_only,random_forest,4,0.785498489425982,0.9608697118649332
C_unpaired,random_forest,4,43.83735705209657,0.7120593765676573
B_paired,random_forest,4,37.94440853264383,0.7512179466866091
A_bg_only,random_forest,5,6.767411300919843,0.8515111895998277
D_model_only,random_forest,5,-0.2985074626865672,0.9598389614194638
C_unpaired,random_forest,5,33.54192740926158,0.7079236648790007
B_paired,random_forest,5,31.41955835962145,0.745988079095893
A_bg_only,random_forest,6,0.3710575139146568,0.8561001711853021
D_model_only,random_forest,6,0.06009615384615385,0.9604764515889231
C_unpaired,random_forest,6,45.369211514392994,0.7006242148261934
B_paired,random_forest,6,37.95843520782396,0.7509895154903261
A_bg_only,random_forest,7,0.8877615726062142,0.8524633766103561
D_model_only,random_forest,7,0.12033694344163659,0.9610145110426048
C_unpaired,random_forest,7,44.17098445595855,0.7026045371108214
B_paired,random_forest,7,43.19526627218935,0.7490248706847713
A_bg_only,random_forest,8,2.043343653250774,0.8537704969531887
D_model_only,random_forest,8,-0.12055455093429776,0.9604726624249441
C_unpaired,random_forest,8,39.56326268464997,0.6954533681610267
B_paired,random_forest,8,37.0757180156658,0.7508444393306624
A_bg_only,random_forest,9,-2.2346368715083798,0.8530463869980305
D_model_only,random_forest,9,0.12033694344163659,0.9599676647731996
C_unpaired,random_forest,9,39.92222942320156,0.7095230212915322
B_paired,random_forest,9,43.357096565132856,0.7573543387131496
A_bg_only,random_forest,10,-0.18438844499078058,0.853811372240429
D_model_only,random_forest,10,-0.7789095266626722,0.9606213091992799
C_unpaired,random_forest,10,43.278084714548804,0.7139956895768764
B_paired,random_forest,10,40.75738125802311,0.752269174885811
A_bg_only,random_forest,11,-5.3927315357561545,0.8473143451692648
D_model_only,random_forest,11,-0.5970149253731344,0.9601582662278245
C_unpaired,random_forest,11,35.37621359223301,0.7117422942920407
B_paired,random_forest,11,41.343669250645995,0.7575218911890228
A_bg_only,random_forest,12,-1.3358778625954197,0.8504397711988356
D_model_only,random_forest,12,-2.069781194559432,0.9603946025866597
C_unpaired,random_forest,12,24.604569420035148,0.6982336473590909
B_paired,random_forest,12,36.20803159973667,0.7489884040600249
A_bg_only,random_forest,13,4.8344370860927155,0.84896407340591
D_model_only,random_forest,13,-0.12040939193257075,0.960128017592538
C_unpaired,random_forest,13,31.588557516737676,0.7123187485632754
B_paired,random_forest,13,44.74199869366427,0.7527191866803531
A_bg_only,random_forest,14,-4.068002428658167,0.8520492558586887
D_model_only,random_forest,14,1.0321797207043109,0.9602119108997113
C_unpaired,random_forest,14,35.797189981673796,0.7005118940353882
B_paired,random_forest,14,42.13759213759214,0.7584591221011062
