arm,alg,rep,range_pct,schoener
A_bg_only,xgboost,0,-10.854503464203233,0.7661803011050086
D_model_only,xgboost,0,-0.7883565797453002,0.9232222948449107
C_unpaired,xgboost,0,52.54346426271732,0.5407405386862688
B_paired,xgboost,0,45.38361508452536,0.6119492847633073
A_bg_only,xgboost,1,-1.8018018018018018,0.7642997533070305
D_model_only,xgboost,1,0.17878426698450536,0.9210240538648287
C_unpaired,xgboost,1,55.64566437928883,0.5628122043660485
B_paired,xgboost,1,54.942233632862646,0.6151599375585353
A_bg_only,xgboost,2,-3.6137440758293837,0.7690900998750926
D_model_only,xgboost,2,-0.24271844660194172,0.9204388769519319
C_unpaired,xgboost,2,41.04294478527608,0.5633987926544478
B_paired,xgboost,2,54.29277331686227,0.6098943703941617
A_bg_only,xgboost,3,-0.5006257822277848,0.7692076512035197
D_model_only,xgboost,3,-0.11954572624028689,0.9191352073472259
C_unpaired,xgboost,3,56.55899802241265,0.5383949173401572
B_paired,xgboost,3,49.74779319041614,0.6162456221537397
A_bg_only,xgboost,4,-1.2547051442910917,0.7628733734458395
D_model_only,xgboost,4,-2.6785714285714284,0.9229710370312116
C_unpaired,xgboost,4,52.116234996841435,0.5580083605881346
B_paired,xgboost,4,46.84014869888476,0.6227473163473795
A_bg_only,xgboost,5,6.662436548223351,0.7708694798352738
D_model_only,xgboost,5,-2.7027027027027026,0.9207279703259139
C_unpaired,xgboost,5,45.8975940777298,0.5536758651284266
B_paired,xgboost,5,48.883374689826304,0.6045782037107723
A_bg_only,xgboost,6,1.1214953271028036,0.7772933365667536
D_model_only,xgboost,6,1.4475271411338964,0.9226006271656608
C_unpaired,xgboost,6,61.358024691358025,0.5517131090033034
B_paired,xgboost,6,59.310344827586206,0.6188460804013142
A_bg_only,xgboost,7,7.652399481193256,0.7731706367876673
D_model_only,xgboost,7,0.6610576923076923,0.9194055052520698
C_unpaired,xgboost,7,48.93617021276596,0.5447512372818736
B_paired,xgboost,7,52.47907276239536,0.6096776166380206
A_bg_only,xgboost,8,4.311984781230184,0.7667348827652182
D_model_only,xgboost,8,-0.23823704586063135,0.921061089962241
C_unpaired,xgboost,8,52.275600505689,0.5289446837440384
B_paired,xgboost,8,53.9440203562341,0.6066007890789148
A_bg_only,xgboost,9,2.995538559592097,0.775069180793126
D_model_only,xgboost,9,2.799756542909312,0.9199784953965877
C_unpaired,xgboost,9,58.95618556701031,0.5465352544617595
B_paired,xgboost,9,52.96717171717171,0.6163340821987592
A_bg_only,xgboost,10,-2.6378896882494005,0.7725846463206849
D_model_only,xgboost,10,-1.183431952662722,0.9243073165332583
C_unpaired,xgboost,10,50.3015681544029,0.5569770973369811
B_paired,xgboost,10,51.37555982085733,0.6111962263303111
A_bg_only,xgboost,11,-3.6244800950683302,0.7676142509624638
D_model_only,xgboost,11,1.2658227848101267,0.9223034943151825
C_unpaired,xgboost,11,45.47158026233604,0.5634298578726692
B_paired,xgboost,11,58.56209150326798,0.6072532810352563
A_bg_only,xgboost,12,-1.6202203499675956,0.7602504890505521
D_model_only,xgboost,12,1.683704149128082,0.9177878805082209
C_unpaired,xgboost,12,38.41138114997037,0.5398669587303024
B_paired,xgboost,12,48.13384813384813,0.6033986906672861
A_bg_only,xgboost,13,4.282933160285529,0.7661479188717718
D_model_only,xgboost,13,-0.9518143961927424,0.9219588388482468
C_unpaired,xgboost,13,42.9940119760479,0.5638616452666277
B_paired,xgboost,13,58.21872953503602,0.6032678796037315
A_bg_only,xgboost,14,-5.572565829761176,0.7784329664623941
D_model_only,xgboost,14,-0.5970149253731344,0.9227317891141968
C_unpaired,xgboost,14,45.55754323196184,0.5433605896420179
B_paired,xgboost,14,56.15763546798029,0.6233099246687981
