arm,alg,rep,range_pct,schoener
A_bg_only,maxent,0,-2.5423728813559325,0.7152186479995163
D_model_only,maxent,0,0.5050505050505051,0.9941383137620722
C_unpaired,maxent,0,26.70299727520436,0.5878121695472434
B_paired,maxent,0,18.666666666666668,0.6762965076988624
A_bg_only,maxent,1,-7.219251336898395,0.714352158574951
D_model_only,maxent,1,0.0,0.9934111562530819
C_unpaired,maxent,1,29.34472934472934,0.5937425392673534
B_paired,maxent,1,30.08849557522124,0.6910883044811965
A_bg_only,maxent,2,-11.704834605597965,0.7076043873304666
D_model_only,maxent,2,0.25380710659898476,0.9931464592414923
C_unpaired,maxent,2,22.950819672131146,0.5972488212761082
B_paired,maxent,2,13.577023498694519,0.6985766337467147
A_bg_only,maxent,3,-6.685236768802229,0.707725033864736
D_model_only,maxent,3,0.5063291139240507,0.9935506472379059
C_unpaired,maxent,3,11.229946524064172,0.6120948377332388
B_paired,maxent,3,25.82417582417583,0.687497127010268
A_bg_only,maxent,4,0.2695417789757413,0.694004661927764
D_model_only,maxent,4,0.0,0.9941307084341342
C_unpaired,maxent,4,40.8955223880597,0.6017862710478805
B_paired,maxent,4,22.811671087533156,0.6878863798299059
A_bg_only,maxent,5,-5.6000000000000005,0.6951874498246702
D_model_only,maxent,5,0.0,0.9910926007762499
C_unpaired,maxent,5,30.81232492997199,0.5915537948810271
B_paired,maxent,5,20.76502732240437,0.6962313076045952
A_bg_only,maxent,6,0.28328611898017,0.7070840327639597
D_model_only,maxent,6,1.2690355329949239,0.9926089355953246
C_unpaired,maxent,6,11.886304909560723,0.6099334505728508
B_paired,maxent,6,22.79202279202279,0.6738543227553125
A_bg_only,maxent,7,4.619565217391304,0.7054594521798003
D_model_only,maxent,7,-0.7518796992481203,0.9909633971437124
C_unpaired,maxent,7,26.912181303116146,0.5889529907331426
B_paired,maxent,7,17.322834645669293,0.7005727774825791
A_bg_only,maxent,8,14.117647058823529,0.7063347122510424
D_model_only,maxent,8,-0.9950248756218906,0.9936068110695921
C_unpaired,maxent,8,17.473118279569892,0.5901835190027659
B_paired,maxent,8,16.844919786096256,0.6919063620285028
A_bg_only,maxent,9,-2.666666666666667,0.7049095769887934
D_model_only,maxent,9,-0.25252525252525254,0.9917641606217961
C_unpaired,maxent,9,18.157894736842106,0.5959357409053413
B_paired,maxent,9,20.887728459530024,0.6839444526773746
A_bg_only,maxent,10,-1.4084507042253522,0.7164759523046227
D_model_only,maxent,10,0.5063291139240507,0.9922415588475458
C_unpaired,maxent,10,30.64516129032258,0.5894557362449832
B_paired,maxent,10,32.7683615819209,0.6955598322730899
A_bg_only,maxent,11,0.5797101449275363,0.7077173936622839
D_model_only,maxent,11,1.0126582278481013,0.9948115365680148
C_unpaired,maxent,11,20.448179271708682,0.6013891511162615
B_paired,maxent,11,17.066666666666666,0.6874008136531463
A_bg_only,maxent,12,2.203856749311295,0.7015698736388531
D_model_only,maxent,12,-1.7543859649122806,0.9908994251831488
C_unpaired,maxent,12,25.64102564102564,0.6095171148436855
B_paired,maxent,12,30.144927536231886,0.6971501242320317
A_bg_only,maxent,13,0.0,0.7128205692600537
D_model_only,maxent,13,1.5384615384615385,0.9929848313268961
C_unpaired,maxent,13,20.670391061452513,0.6142500652198226
B_paired,maxent,13,21.67630057803468,0.6808072503244411
A_bg_only,maxent,14,7.6923076923076925,0.6960700017611838
D_model_only,maxent,14,0.5063291139240507,0.9946014074901831
C_unpaired,maxent,14,19.525065963060687,0.6037975304398429
B_paired,maxent,14,30.116959064327485,0.6729870629912256
