arm,alg,rep,range_pct,schoener
A_bg_only,maxent,0,2.9069767441860463,0.7514823967151585
D_model_only,maxent,0,0.7952286282306162,0.9854237653494516
C_unpaired,maxent,0,70.77534791252485,0.5663187354055927
B_paired,maxent,0,59.6116504854369,0.5982618612372947
A_bg_only,maxent,1,-1.7964071856287425,0.7926869393078264
D_model_only,maxent,1,-0.3952569169960474,0.8939463735406955
C_unpaired,maxent,1,65.11156186612575,0.5665358728593749
B_paired,maxent,1,60.08146639511202,0.5835035863325306
A_bg_only,maxent,2,-4.761904761904762,0.7549136423785289
D_model_only,maxent,2,-0.7905138339920948,0.8958337226928295
C_unpaired,maxent,2,53.798767967145785,0.5772012276668554
B_paired,maxent,2,45.16728624535316,0.6004259663992026
A_bg_only,maxent,3,6.097560975609756,0.7647998920019249
D_model_only,maxent,3,0.3976143141153081,0.9794780891887039
C_unpaired,maxent,3,63.02186878727635,0.5856280638897368
B_paired,maxent,3,63.31967213114754,0.6042831025098613
A_bg_only,maxent,4,-1.3513513513513513,0.7514362833122958
D_model_only,maxent,4,-0.3976143141153081,0.9859891174166477
C_unpaired,maxent,4,59.4,0.5807120304742382
B_paired,maxent,4,58.21782178217821,0.5903031578362675
A_bg_only,maxent,5,-1.1650485436893203,0.7547292333864363
D_model_only,maxent,5,-0.19960079840319359,0.9860531597092254
C_unpaired,maxent,5,65.49586776859503,0.5614694709918473
B_paired,maxent,5,54.875717017208416,0.6076263774905588
A_bg_only,maxent,6,-5.758157389635317,0.7289014191468999
D_model_only,maxent,6,0.19880715705765406,0.9672395147540835
C_unpaired,maxent,6,60.71428571428571,0.551479137704578
B_paired,maxent,6,58.67446393762184,0.616817171504758
A_bg_only,maxent,7,10.32258064516129,0.7514140753156784
D_model_only,maxent,7,-0.7889546351084813,0.9821804076549348
C_unpaired,maxent,7,55.62015503875969,0.5600019567367871
B_paired,maxent,7,46.336996336996336,0.5875437679850796
A_bg_only,maxent,8,-3.1746031746031744,0.7570517863747689
D_model_only,maxent,8,0.39920159680638717,0.9845076181024517
C_unpaired,maxent,8,66.53465346534654,0.5437006855392409
B_paired,maxent,8,64.3298969072165,0.6063838015393551
A_bg_only,maxent,9,-0.40816326530612246,0.7779546117145263
D_model_only,maxent,9,0.2004008016032064,0.891816178625827
C_unpaired,maxent,9,50.0,0.5749309423071902
B_paired,maxent,9,57.69980506822612,0.606023192887441
A_bg_only,maxent,10,-2.9880478087649402,0.7572741303033862
D_model_only,maxent,10,-0.9940357852882704,0.9835709620057778
C_unpaired,maxent,10,50.98425196850393,0.5567636681871155
B_paired,maxent,10,49.70986460348163,0.6203086650626246
A_bg_only,maxent,11,-1.3207547169811322,0.7331777127622187
D_model_only,maxent,11,-0.199203187250996,0.8947251914147495
C_unpaired,maxent,11,48.25581395348838,0.5739161318699254
B_paired,maxent,11,46.34615384615385,0.5921008862698386
A_bg_only,maxent,12,5.797101449275362,0.7803341233732813
D_model_only,maxent,12,-0.9823182711198428,0.9802217656153244
C_unpaired,maxent,12,51.87376725838264,0.5638922050705766
B_paired,maxent,12,55.20628683693517,0.6211308010000345
A_bg_only,maxent,13,4.545454545454546,0.7441359480598798
D_model_only,maxent,13,0.1976284584980237,0.8907056696557086
C_unpaired,maxent,13,60.96153846153847,0.5740700575081037
B_paired,maxent,13,50.39370078740157,0.6019493608397593
A_bg_only,maxent,14,3.4274193548387095,0.766663858559512
D_model_only,maxent,14,0.0,0.9853927006231642
C_unpaired,maxent,14,59.143968871595334,0.5798423821970347
B_paired,maxent,14,56.046065259117086,0.5908252931905202
