arm,alg,rep,range_pct,schoener
A_bg_only,xgboost,0,1.9482007792803118,0.8280079489676069
D_model_only,xgboost,0,0.5461993627674101,0.9241197274407221
C_unpaired,xgboost,0,51.426004940489555,0.6581451742096289
B_paired,xgboost,0,50.484154929577464,0.7082775486825825
A_bg_only,xgboost,1,-3.5471537807986406,0.8290674440986023
D_model_only,xgboost,1,1.7403251660178611,0.92438461581996
C_unpaired,xgboost,1,44.88869677977091,0.6505668279662844
B_paired,xgboost,1,50.25848505282086,0.706165319909831
A_bg_only,xgboost,2,3.924252794889345,0.8247962172781641
D_model_only,xgboost,2,1.1460004584001835,0.923640150591449
C_unpaired,xgboost,2,42.78169014084507,0.665676326303305
B_paired,xgboost,2,42.00262927256792,0.7148079857400004
A_bg_only,xgboost,3,-2.3736933797909407,0.8307217147743292
D_model_only,xgboost,3,0.5910434189588543,0.9243349115608049
C_unpaired,xgboost,3,49.62862930452397,0.6615313370717978
B_paired,xgboost,3,47.48373101952278,0.7101427243716961
A_bg_only,xgboost,4,-2.96943231441048,0.821988915787766
D_model_only,xgboost,4,-0.9739524348810872,0.9240221760687672
C_unpaired,xgboost,4,44.5074106364429,0.6657162868364508
B_paired,xgboost,4,55.19203413940256,0.7079542606748497
A_bg_only,xgboost,5,2.6636568848758464,0.8259325467168651
D_model_only,xgboost,5,-0.7241457343290337,0.9251929432627763
C_unpaired,xgboost,5,53.8391640163562,0.664777877006123
B_paired,xgboost,5,50.7653644048435,0.7048903201818457
A_bg_only,xgboost,6,0.11143302874972141,0.825822807105095
D_model_only,xgboost,6,0.7067943456452348,0.9244918189162757
C_unpaired,xgboost,6,43.14507198228129,0.6579689998707625
B_paired,xgboost,6,50.866666666666674,0.7079110385828642
A_bg_only,xgboost,7,0.5572893446277307,0.830343493801363
D_model_only,xgboost,7,1.4155251141552512,0.9248640202756164
C_unpaired,xgboost,7,42.50976986539297,0.6619329929394451
B_paired,xgboost,7,51.20631341600902,0.7053094518751327
A_bg_only,xgboost,8,-0.7724564113882145,0.8275492111830172
D_model_only,xgboost,8,-0.2490378084672855,0.9230043267795851
C_unpaired,xgboost,8,43.05224365922393,0.6609850430730634
B_paired,xgboost,8,49.24972004479283,0.7083449683620884
A_bg_only,xgboost,9,0.6438721136767318,0.8220557828552415
D_model_only,xgboost,9,0.13602357742008614,0.9243641183756683
C_unpaired,xgboost,9,54.800456100342075,0.6560767933074994
B_paired,xgboost,9,51.06527651858568,0.7032894252129462
A_bg_only,xgboost,10,-0.6684491978609626,0.831915309221728
D_model_only,xgboost,10,1.5851137146795313,0.9248193841142346
C_unpaired,xgboost,10,44.631765749778175,0.6641832004820184
B_paired,xgboost,10,49.322372806043106,0.7085656920279588
A_bg_only,xgboost,11,-3.750554815801154,0.8239276846180136
D_model_only,xgboost,11,-0.7460999321727334,0.9242940534934736
C_unpaired,xgboost,11,51.625111308993766,0.6617576474776095
B_paired,xgboost,11,45.137535196014724,0.7077914431173634
A_bg_only,xgboost,12,-0.3412969283276451,0.8274473177097796
D_model_only,xgboost,12,1.7162471395881007,0.9234512608060853
C_unpaired,xgboost,12,45.21758338855754,0.6593025195211066
B_paired,xgboost,12,46.495023799221116,0.714590502139465
A_bg_only,xgboost,13,4.878048780487805,0.8279559624762385
D_model_only,xgboost,13,0.6844626967830253,0.9255312307885721
C_unpaired,xgboost,13,49.66917636322154,0.6580308498736038
B_paired,xgboost,13,51.09964093357271,0.7063778940630685
A_bg_only,xgboost,14,1.6327443524938492,0.8327171763148216
D_model_only,xgboost,14,-1.4246947082767978,0.923581614646962
C_unpaired,xgboost,14,50.91282519397535,0.6660429857696258
B_paired,xgboost,14,45.58922558922559,0.7064387656935902
