arm,alg,rep,range_pct,schoener
A_bg_only,maxent,0,4.029147021003,0.6843944510252411
D_model_only,maxent,0,-0.299017513882956,0.9906133917619232
C_unpaired,maxent,0,12.6977518734388,0.6141889607659139
B_paired,maxent,0,11.694915254237289,0.7329604720369746
A_bg_only,maxent,1,-4.215358931552587,0.6849590967692502
D_model_only,maxent,1,-0.2982530890498509,0.9914783733685777
C_unpaired,maxent,1,13.016006739679863,0.6210137512350501
B_paired,maxent,1,12.697095435684647,0.7376454955599792
A_bg_only,maxent,2,2.7073485174043834,0.6767740845119674
D_model_only,maxent,2,-0.1282051282051282,0.9935752872203097
C_unpaired,maxent,2,18.19371727748691,0.6125361544074359
B_paired,maxent,2,18.040370058873005,0.7330071491864868
A_bg_only,maxent,3,-0.21043771043771042,0.689538737547829
D_model_only,maxent,3,0.34144259496372176,0.9907048242032966
C_unpaired,maxent,3,14.291938997821351,0.6386025508114193
B_paired,maxent,3,12.186836518046709,0.7504647136130254
A_bg_only,maxent,4,-3.605870020964361,0.6913521924385193
D_model_only,maxent,4,-0.17072129748186088,0.9908860387053362
C_unpaired,maxent,4,18.054949847361534,0.6192440307878795
B_paired,maxent,4,11.791859001258917,0.7389665955196302
A_bg_only,maxent,5,-2.3389413212966765,0.6774839850132816
D_model_only,maxent,5,-0.2977456401531263,0.9907562425662552
C_unpaired,maxent,5,16.65268456375839,0.6145357730035798
B_paired,maxent,5,16.264294790343076,0.7386304375159813
A_bg_only,maxent,6,1.2858979854264894,0.6889999728291906
D_model_only,maxent,6,-0.042662116040955635,0.9909596889876628
C_unpaired,maxent,6,8.381984987489574,0.620452545989451
B_paired,maxent,6,12.143474503025065,0.7309498445921422
A_bg_only,maxent,7,3.4288194444444446,0.6799327999827426
D_model_only,maxent,7,0.0,0.9897689451698095
C_unpaired,maxent,7,10.76595744680851,0.6373535372482022
B_paired,maxent,7,13.21762349799733,0.7285104112659918
A_bg_only,maxent,8,-1.1676396997497915,0.6732050592483058
D_model_only,maxent,8,-0.5110732538330494,0.9931508007890415
C_unpaired,maxent,8,16.01195559350982,0.6193328956700851
B_paired,maxent,8,16.058073031236255,0.737919183186016
A_bg_only,maxent,9,4.796055580457194,0.6793442084630086
D_model_only,maxent,9,0.47109207708779444,0.9904420222001392
C_unpaired,maxent,9,13.854653633659158,0.6246955423585423
B_paired,maxent,9,10.493311036789297,0.7461810613612019
A_bg_only,maxent,10,1.6421052631578947,0.6835455008118256
D_model_only,maxent,10,0.17050298380221654,0.9906936402721147
C_unpaired,maxent,10,14.673913043478262,0.6195923891445125
B_paired,maxent,10,14.678899082568808,0.7393910943046039
A_bg_only,maxent,11,-3.824476650563607,0.6888862300480542
D_model_only,maxent,11,-0.1278772378516624,0.9921591526290816
C_unpaired,maxent,11,13.063632532659081,0.6207794425314366
B_paired,maxent,11,14.627775359164128,0.7373518383621124
A_bg_only,maxent,12,1.4893617021276597,0.6853113269536557
D_model_only,maxent,12,0.2996575342465753,0.9908043468581076
C_unpaired,maxent,12,10.461285008237233,0.6168580966462942
B_paired,maxent,12,16.595744680851062,0.7302925030035965
A_bg_only,maxent,13,0.12706480304955528,0.68236576840169
D_model_only,maxent,13,0.4282655246252677,0.9922445004792174
C_unpaired,maxent,13,14.64147702876771,0.6285964319471066
B_paired,maxent,13,15.326633165829145,0.7449647287646263
A_bg_only,maxent,14,-1.766933108960875,0.6864117619729511
D_model_only,maxent,14,0.299017513882956,0.9929021133639273
C_unpaired,maxent,14,10.528506034124012,0.6328585214210556
B_paired,maxent,14,11.580267558528428,0.7446308528354204
