arm,alg,rep,range_pct,schoener
A_bg_only,xgboost,0,-4.455741626794258,0.7962454828332108
D_model_only,xgboost,0,0.0,0.9038307226211175
C_unpaired,xgboost,0,16.989247311827956,0.7374283302651541
B_paired,xgboost,0,18.871533312081606,0.8006997432771943
A_bg_only,xgboost,1,8.285163776493256,0.7972449691596819
D_model_only,xgboost,1,1.8363402061855671,0.9043662790125608
C_unpaired,xgboost,1,15.426497277676951,0.730457746338656
B_paired,xgboost,1,21.908244680851062,0.7999894629267357
A_bg_only,xgboost,2,11.810012836970476,0.7964443513619004
D_model_only,xgboost,2,-0.7961783439490446,0.9053599476093768
C_unpaired,xgboost,2,16.091954022988507,0.7236977917143486
B_paired,xgboost,2,15.852474927208023,0.8051070404192775
A_bg_only,xgboost,3,5.571293673276676,0.787842170131831
D_model_only,xgboost,3,-0.8384392131570461,0.9046297968349606
C_unpaired,xgboost,3,4.716981132075472,0.7473536834238725
B_paired,xgboost,3,13.042131350681538,0.8079240234379967
A_bg_only,xgboost,4,1.8015170670037928,0.7910227384480024
D_model_only,xgboost,4,0.6679389312977099,0.9067010625583046
C_unpaired,xgboost,4,15.567533291058972,0.7264104198349431
B_paired,xgboost,4,14.858260019550343,0.8132617125742021
A_bg_only,xgboost,5,7.04538241827991,0.7937624123496301
D_model_only,xgboost,5,3.0244530244530243,0.9079314342544063
C_unpaired,xgboost,5,6.141639729650309,0.7295038761535633
B_paired,xgboost,5,10.638297872340425,0.8075684527497771
A_bg_only,xgboost,6,0.821917808219178,0.7958209150473623
D_model_only,xgboost,6,1.1790949649458253,0.9059168294924632
C_unpaired,xgboost,6,9.65684785909505,0.7275815256764171
B_paired,xgboost,6,20.84524944391484,0.80846000141023
A_bg_only,xgboost,7,1.3560391043834754,0.793194287723463
D_model_only,xgboost,7,0.1585791309863622,0.905495417319331
C_unpaired,xgboost,7,14.058524173027989,0.7278206389399956
B_paired,xgboost,7,11.513859275053305,0.8138298360405238
A_bg_only,xgboost,8,-1.2287334593572778,0.7860718513292044
D_model_only,xgboost,8,-0.6962025316455696,0.9039121597797614
C_unpaired,xgboost,8,15.392,0.7315104451527972
B_paired,xgboost,8,15.76695194206715,0.8006758391507967
A_bg_only,xgboost,9,-1.942645698427382,0.7914190778869301
D_model_only,xgboost,9,-1.2982900569981,0.9047811098587484
C_unpaired,xgboost,9,8.724409448818896,0.7267957159041091
B_paired,xgboost,9,11.650774731823601,0.8157439815236609
A_bg_only,xgboost,10,-1.0510046367851622,0.7854073768007748
D_model_only,xgboost,10,-1.877346683354193,0.9048923427359676
C_unpaired,xgboost,10,15.72897761645493,0.7324974445361241
B_paired,xgboost,10,13.323572474377746,0.8090542575281208
A_bg_only,xgboost,11,4.398148148148148,0.783329725472421
D_model_only,xgboost,11,0.6763285024154589,0.904083716085444
C_unpaired,xgboost,11,22.59455872594559,0.7426687451344324
B_paired,xgboost,11,14.036243822075784,0.8096454855335165
A_bg_only,xgboost,12,5.615482233502538,0.7943433236679831
D_model_only,xgboost,12,1.616031027795734,0.9029567232163686
C_unpaired,xgboost,12,10.298693217174861,0.739427619288953
B_paired,xgboost,12,14.03948605452836,0.8019189314473634
A_bg_only,xgboost,13,0.13249420337860218,0.7917557377354607
D_model_only,xgboost,13,0.6418485237483954,0.9036524704433639
C_unpaired,xgboost,13,30.397823869432166,0.7402135315232516
B_paired,xgboost,13,17.099093466708347,0.804778321189059
A_bg_only,xgboost,14,-0.5581395348837209,0.7881173152126577
D_model_only,xgboost,14,-0.819672131147541,0.9040934218371298
C_unpaired,xgboost,14,7.936988791275371,0.7380407239512141
B_paired,xgboost,14,17.194268577140953,0.8134656477634967
