arm,alg,rep,range_pct,schoener
A_bg_only,xgboost,0,-0.49552125023823135,0.8526175935259916
D_model_only,xgboost,0,0.6024096385542169,0.9264347681859358
C_unpaired,xgboost,0,22.913476263399694,0.8220477391264527
B_paired,xgboost,0,23.50943396226415,0.873281165607485
A_bg_only,xgboost,1,1.1108982953457192,0.8573238543450199
D_model_only,xgboost,1,-0.28763183125599234,0.9246392899909339
C_unpaired,xgboost,1,26.9660792116733,0.813335031875697
B_paired,xgboost,1,28.27245053272451,0.8681801055361733
A_bg_only,xgboost,2,1.3679890560875512,0.8534504200678873
D_model_only,xgboost,2,-0.6342494714587738,0.9262436616220319
C_unpaired,xgboost,2,27.782101167315176,0.8168422152867284
B_paired,xgboost,2,22.46565168956554,0.8707010898217875
A_bg_only,xgboost,3,1.650853889943074,0.8554671434565344
D_model_only,xgboost,3,0.0,0.925513998228808
C_unpaired,xgboost,3,24.995215311004785,0.813033727960744
B_paired,xgboost,3,23.402219670876388,0.8701721898612003
A_bg_only,xgboost,4,3.214562354763749,0.8533371667933805
D_model_only,xgboost,4,-0.20952380952380953,0.9264155147830913
C_unpaired,xgboost,4,34.4150641025641,0.8123156530148986
B_paired,xgboost,4,25.83046964490264,0.867737028863067
A_bg_only,xgboost,5,1.3484463552863006,0.8542012979444724
D_model_only,xgboost,5,0.6032302004280988,0.9256089248240914
C_unpaired,xgboost,5,21.807390388665517,0.8211743263510927
B_paired,xgboost,5,25.0,0.8727648485919051
A_bg_only,xgboost,6,-0.7984420642648491,0.8500839327836764
D_model_only,xgboost,6,2.2117831278136624,0.9268618413172834
C_unpaired,xgboost,6,19.535928143712574,0.8190330180571175
B_paired,xgboost,6,26.203000194817843,0.8687167604418646
A_bg_only,xgboost,7,2.2894985808893096,0.8534499371739899
D_model_only,xgboost,7,-1.8497109826589597,0.9261584818442746
C_unpaired,xgboost,7,28.86933231299024,0.8132481160444199
B_paired,xgboost,7,26.72209026128266,0.8627547200515366
A_bg_only,xgboost,8,0.3770739064856712,0.8566772786378316
D_model_only,xgboost,8,0.5196304849884527,0.9270543877087188
C_unpaired,xgboost,8,18.735763097949885,0.8158813013972683
B_paired,xgboost,8,25.137963843958133,0.8681771128473936
A_bg_only,xgboost,9,-0.41920731707317077,0.8536355982193428
D_model_only,xgboost,9,0.13458950201884254,0.925303410508095
C_unpaired,xgboost,9,26.926791578134058,0.8175915937957168
B_paired,xgboost,9,22.24309599849709,0.8682333646807677
A_bg_only,xgboost,10,1.3725880246667992,0.8547620892263397
D_model_only,xgboost,10,0.6943105110896818,0.9252632346024784
C_unpaired,xgboost,10,23.450292397660817,0.8138465595395947
B_paired,xgboost,10,25.57471264367816,0.8689482098744779
A_bg_only,xgboost,11,-0.5706676811869889,0.856860400259615
D_model_only,xgboost,11,0.8724311748739823,0.927155026394698
C_unpaired,xgboost,11,28.618484789769425,0.815021413543978
B_paired,xgboost,11,25.618716163959782,0.8635869351006806
A_bg_only,xgboost,12,3.5937499999999996,0.8510101759636627
D_model_only,xgboost,12,0.7575757575757576,0.9268117981185062
C_unpaired,xgboost,12,29.228149829738932,0.8139333225323925
B_paired,xgboost,12,27.773627194620843,0.8699156882473447
A_bg_only,xgboost,13,1.8525741029641187,0.8539879478063006
D_model_only,xgboost,13,0.3663709988430389,0.9262437368281691
C_unpaired,xgboost,13,28.538102643856924,0.8172122479726522
B_paired,xgboost,13,25.732531930879038,0.867486376109737
A_bg_only,xgboost,14,1.572565365668814,0.8532518965914779
D_model_only,xgboost,14,-0.07732456988208003,0.9252389730725659
C_unpaired,xgboost,14,21.242141360259097,0.8250217665231783
B_paired,xgboost,14,20.740055504162815,0.8739747090356809
