arm,alg,rep,range_pct,schoener
A_bg_only,xgboost,0,1.4771048744460855,0.797132192550525
D_model_only,xgboost,0,2.43531202435312,0.9341605807359554
C_unpaired,xgboost,0,12.003058103975535,0.7621358943436165
B_paired,xgboost,0,6.379821958456973,0.8887982184894476
A_bg_only,xgboost,1,1.968205904617714,0.7921496132136221
D_model_only,xgboost,1,1.7624521072796935,0.934744105912069
C_unpaired,xgboost,1,1.3513513513513513,0.7899967628886739
B_paired,xgboost,1,2.140468227424749,0.9118037095814366
A_bg_only,xgboost,2,-1.9955654101995564,0.8019026892720486
D_model_only,xgboost,2,1.141552511415525,0.9341351590363183
C_unpaired,xgboost,2,2.696629213483146,0.774706503399295
B_paired,xgboost,2,3.5631293570875293,0.8956280365276609
A_bg_only,xgboost,3,-3.673163418290855,0.7954993287749057
D_model_only,xgboost,3,-1.3432835820895521,0.9374243155389167
C_unpaired,xgboost,3,3.048780487804878,0.7781096806292909
B_paired,xgboost,3,4.538461538461538,0.8914554854490823
A_bg_only,xgboost,4,7.342378292098963,0.7841423144371044
D_model_only,xgboost,4,1.5933232169954477,0.9348105496403651
C_unpaired,xgboost,4,0.35842293906810035,0.7819205486012331
B_paired,xgboost,4,3.899268887083672,0.8894222490223717
A_bg_only,xgboost,5,-0.5173688100517368,0.7766972412628672
D_model_only,xgboost,5,1.5420200462606015,0.9339862217381655
C_unpaired,xgboost,5,15.680245964642584,0.7717171894451553
B_paired,xgboost,5,-0.2915451895043732,0.9005775483009373
A_bg_only,xgboost,6,-2.5056947608200453,0.7995357358689816
D_model_only,xgboost,6,1.592115238817286,0.9335325585849148
C_unpaired,xgboost,6,8.781645569620252,0.7730265181809143
B_paired,xgboost,6,2.3581429624170966,0.8954767701472333
A_bg_only,xgboost,7,1.3740458015267176,0.7939288987806372
D_model_only,xgboost,7,0.837138508371385,0.9335673473570679
C_unpaired,xgboost,7,8.718726307808947,0.7747251190354505
B_paired,xgboost,7,4.303428154631655,0.897176363554652
A_bg_only,xgboost,8,-10.778015703069237,0.7815862390554261
D_model_only,xgboost,8,0.22710068130204392,0.9333036051457051
C_unpaired,xgboost,8,5.92538405267008,0.780537145348901
B_paired,xgboost,8,6.22568093385214,0.8907219976191293
A_bg_only,xgboost,9,-4.813218390804598,0.7881843074501682
D_model_only,xgboost,9,-0.8995502248875562,0.9359482293106324
C_unpaired,xgboost,9,11.498810467882633,0.7838586869170014
B_paired,xgboost,9,6.25,0.8991606655924871
A_bg_only,xgboost,10,1.5372790161414296,0.7996065594416141
D_model_only,xgboost,10,-0.5283018867924528,0.9352686666126871
C_unpaired,xgboost,10,1.8181818181818181,0.7807073719408042
B_paired,xgboost,10,3.2457496136012365,0.8857955375601219
A_bg_only,xgboost,11,0.3909304143862392,0.7852653811943001
D_model_only,xgboost,11,0.4528301886792453,0.9349535473700417
C_unpaired,xgboost,11,2.293906810035842,0.7816009435776581
B_paired,xgboost,11,0.4434589800443459,0.8988988616463035
A_bg_only,xgboost,12,-8.385308385308385,0.8021000511068834
D_model_only,xgboost,12,0.3787878787878788,0.9343641720391783
C_unpaired,xgboost,12,2.7480916030534353,0.779222859900622
B_paired,xgboost,12,3.5101404056162244,0.8956819626420162
A_bg_only,xgboost,13,1.3748191027496381,0.7871013969600692
D_model_only,xgboost,13,0.9009009009009009,0.9346591613150875
C_unpaired,xgboost,13,7.567567567567568,0.7857452410678796
B_paired,xgboost,13,5.707762557077626,0.8934160998735539
A_bg_only,xgboost,14,2.5899280575539567,0.7928624444855208
D_model_only,xgboost,14,1.4470677837014472,0.9321435870004158
C_unpaired,xgboost,14,16.9002473206925,0.7783125998056489
B_paired,xgboost,14,8.440514469453376,0.8898172048846285
